y_bin,"(1.596, 3.427]","(3.427, 4.246]","(4.246, 5.447]","(5.447, 7.613]","(7.613, 11.331]","(11.331, 17.136]","(17.136, 28.072]","(28.072, 59.955]"
"(3.386, 4.262]",0.8888888888888888,0.5714285714285714,0.6666666666666666,1.0,0.6666666666666666,0.0,,1.0
"(4.262, 4.449]",0.3333333333333333,1.0,0.5,1.0,1.0,,1.0,1.0
"(4.449, 4.658]",,1.0,0.5,1.0,1.0,1.0,1.0,1.0
"(4.658, 4.798]",1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
"(4.798, 4.895]",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
"(4.895, 5.075]",1.0,0.8333333333333334,1.0,,1.0,1.0,1.0,
"(5.075, 5.438]",1.0,1.0,1.0,0.8888888888888888,0.8333333333333334,1.0,,
"(5.438, 7.582]",0.7,0.8,0.7142857142857143,1.0,1.0,1.0,,
