y_bin,"(1.596, 3.402]","(3.402, 4.246]","(4.246, 5.533]","(5.533, 7.631]","(7.631, 11.39]","(11.39, 18.68]","(18.68, 28.132]","(28.132, 59.955]"
"(11.485000000000001, 15.389]",11.0,7.0,7.0,4.0,2.0,,,
"(15.389, 16.865]",2.0,5.0,7.0,4.0,3.0,,1.0,9.0
"(16.865, 17.417]",1.0,3.0,2.0,3.0,2.0,,12.0,8.0
"(17.417, 17.964]",,1.0,3.0,2.0,2.0,5.0,6.0,12.0
"(17.964, 18.607]",2.0,3.0,2.0,4.0,3.0,10.0,5.0,1.0
"(18.607, 19.205]",2.0,5.0,2.0,4.0,3.0,9.0,5.0,1.0
"(19.205, 20.664]",4.0,3.0,3.0,4.0,9.0,6.0,2.0,
"(20.664, 42.842]",9.0,4.0,5.0,6.0,6.0,1.0,,
