y_bin,"(0.9999, 1.001]","(1.001, 1.0014]","(1.0014, 1.0017]","(1.0017, 1.0023]","(1.0023, 1.0034]","(1.0034, 1.0049]","(1.0049, 1.0071]","(1.0071, 1.0135]"
"(3.386, 4.262]",6.0,2.0,5.0,7.0,5.0,3.0,1.0,3.0
"(4.262, 4.449]",2.0,4.0,3.0,3.0,,2.0,3.0,14.0
"(4.449, 4.658]",,1.0,6.0,2.0,,1.0,9.0,13.0
"(4.658, 4.798]",,4.0,3.0,5.0,5.0,3.0,9.0,2.0
"(4.798, 4.895]",2.0,2.0,4.0,3.0,4.0,10.0,6.0,
"(4.895, 5.075]",3.0,5.0,2.0,2.0,5.0,13.0,2.0,
"(5.075, 5.438]",2.0,9.0,3.0,6.0,10.0,,1.0,
"(5.438, 7.582]",17.0,4.0,6.0,3.0,2.0,,,
