y_bin,"(1.596, 3.882]","(3.882, 5.848]","(5.848, 9.991]","(9.991, 21.601]","(21.601, 59.955]"
"(11.485000000000001, 16.506]",1.0,1.0,1.0,1.0,
"(16.506, 17.496]",1.0,1.0,1.0,1.0,1.0
"(17.496, 18.491]",1.0,1.0,1.0,1.0,1.0
"(18.491, 19.451]",1.0,1.0,1.0,1.0,1.0
"(19.451, 42.842]",0.8125,1.0,1.0,1.0,
