y_bin,"(0.999, 1.001]","(1.001, 1.002]","(1.002, 1.003]","(1.003, 1.006]","(1.006, 1.014]"
"(3.386, 4.364]",1.0,1.0,1.0,1.0,1.0
"(4.364, 4.671]",1.0,1.0,1.0,1.0,1.0
"(4.671, 4.88]",0.75,1.0,1.0,1.0,1.0
"(4.88, 5.182]",1.0,1.0,1.0,1.0,1.0
"(5.182, 7.582]",0.8,1.0,1.0,1.0,
