y_bin,"(1.596, 3.882]","(3.882, 5.793]","(5.793, 9.802]","(9.802, 21.55]","(21.55, 59.955]"
"(3.386, 4.364]",15.0,11.0,7.0,4.0,14.0
"(4.364, 4.671]",5.0,9.0,3.0,5.0,28.0
"(4.671, 4.88]",5.0,7.0,13.0,17.0,8.0
"(4.88, 5.182]",9.0,8.0,11.0,21.0,1.0
"(5.182, 7.582]",17.0,15.0,16.0,3.0,
