n,pct_correct,metric_min,metric_max,metric_median
24,0.4166666666666667,0.3494432161443522,0.952568212909129,0.7557534397840555
23,0.8260869565217391,0.9572454782569174,1.2298839423053358,1.0871058880000892
23,0.8260869565217391,1.241700505996966,1.4409671253388698,1.327985289790028
24,0.75,1.4458024215322305,1.6082584363794024,1.5318803120099602
23,0.9130434782608695,1.6407844557567473,1.9231320122758837,1.746527419096288
23,0.9565217391304348,1.930019289844555,2.256999237236678,2.080067868414856
23,0.9565217391304348,2.2618047618535773,2.6675004807120484,2.3967180289557364
24,0.9583333333333334,2.669121244449675,3.1802081266739672,2.894211649678423
23,1.0,3.218470127773604,4.408925718169785,3.9329529928544833
23,1.0,4.410746483889411,6.521249360175917,5.271729855992716
23,1.0,6.567231806692916,8.7301290545742,7.467066325418974
24,1.0,8.755080499879362,13.705140049696892,9.939305986728083
