y_bin,"(0.999, 1.001]","(1.001, 1.002]","(1.002, 1.003]","(1.003, 1.006]","(1.006, 1.014]"
"(11.485000000000001, 16.506]",1.0,1.0,1.0,1.0,
"(16.506, 17.496]",1.0,1.0,1.0,1.0,1.0
"(17.496, 18.491]",1.0,1.0,1.0,1.0,1.0
"(18.491, 19.451]",1.0,1.0,1.0,1.0,1.0
"(19.451, 42.842]",0.8571428571428571,1.0,1.0,1.0,
