y_bin,"(0.999, 1.001]","(1.001, 1.002]","(1.002, 1.003]","(1.003, 1.006]","(1.006, 1.014]"
"(11.485000000000001, 16.506]",11.0,19.0,14.0,6.0,
"(16.506, 17.496]",4.0,5.0,5.0,2.0,33.0
"(17.496, 18.491]",1.0,8.0,10.0,15.0,15.0
"(18.491, 19.451]",13.0,7.0,6.0,21.0,2.0
"(19.451, 42.842]",21.0,10.0,14.0,5.0,
