el_x1,el_x2,el_xc,el_y1,el_y2,el_yc,el_z1,el_z2,el_zc
-0.0073,-0.00645,-0.0073,0.01085,0.01,0.01,0,0,0
-0.0067,-0.00585,-0.0067,0.00755,0.0067,0.0067,0,0,0
0.008,0.00885,0.008,-0.00245,-0.0033,-0.0033,0,0,0
0.001,0.00185,0.001,-0.01385,-0.0147,-0.0147,0,0,0
0.0049,0.00575,0.0049,0.00075,-0.0001,-0.0001,0,0,0
-0.0037,-0.00285,-0.0037,0.00185,0.001,0.001,0,0,0
0.001,0.00185,0.001,0.00365,0.0028,0.0028,0,0,0
0.0118,0.01265,0.0118,0.00915,0.0083,0.0083,0,0,0
0.0036,0.00445,0.0036,-0.00445,-0.0053,-0.0053,0,0,0
0.0072,0.00805,0.0072,-0.00015,-0.001,-0.001,0,0,0
-0.0058,-0.00495,-0.0058,-0.01035,-0.0112,-0.0112,0,0,0
0.0126,0.01345,0.0126,-0.00735,-0.0082,-0.0082,0,0,0
-0.0003,0.00055,-0.0003,0.00615,0.0053,0.0053,0,0,0
-0.0108,-0.00995,-0.0108,0.00165,0.0008,0.0008,0,0,0
-0.0085,-0.00765,-0.0085,-0.01085,-0.0117,-0.0117,0,0,0
0.0099,0.01075,0.0099,5e-05,-0.0008,-0.0008,0,0,0
-0.0047,-0.00385,-0.0047,0.01265,0.0118,0.0118,0,0,0
-0.0039,-0.00305,-0.0039,-0.01245,-0.0133,-0.0133,0,0,0
0.0036,0.00445,0.0036,-0.00235,-0.0032,-0.0032,0,0,0
0.0043,0.00515,0.0043,-0.00895,-0.0098,-0.0098,0,0,0
-0.0014,-0.00055,-0.0014,0.01565,0.0148,0.0148,0,0,0
0.0073,0.00815,0.0073,0.00205,0.0012,0.0012,0,0,0
0.0031,0.00395,0.0031,0.01525,0.0144,0.0144,0,0,0
-0.0053,-0.00445,-0.0053,0.00895,0.0081,0.0081,0,0,0
-0.0115,-0.01065,-0.0115,-0.00695,-0.0078,-0.0078,0,0,0
-0.0087,-0.00785,-0.0087,0.00365,0.0028,0.0028,0,0,0
-0.0063,-0.00545,-0.0063,0.00485,0.004,0.004,0,0,0
-0.0051,-0.00425,-0.0051,0.00025,-0.0006,-0.0006,0,0,0
-0.0091,-0.00825,-0.0091,0.01275,0.0119,0.0119,0,0,0
-0.0002,0.00065,-0.0002,-0.00585,-0.0067,-0.0067,0,0,0
-0.008,-0.00715,-0.008,-0.00725,-0.0081,-0.0081,0,0,0
-0.0115,-0.01065,-0.0115,-0.00355,-0.0044,-0.0044,0,0,0
0.001,0.00185,0.001,0.01315,0.0123,0.0123,0,0,0
-0.0146,-0.01375,-0.0146,0.00425,0.0034,0.0034,0,0,0
-0.002,-0.00115,-0.002,-0.01395,-0.0148,-0.0148,0,0,0
0.0047,0.00555,0.0047,0.00845,0.0076,0.0076,0,0,0
0.007,0.00785,0.007,-0.01255,-0.0134,-0.0134,0,0,0
0.0119,0.01275,0.0119,0.00295,0.0021,0.0021,0,0,0
0.0072,0.00805,0.0072,-0.00765,-0.0085,-0.0085,0,0,0
-0.0002,0.00065,-0.0002,-0.00255,-0.0034,-0.0034,0,0,0
0.0042,0.00505,0.0042,0.00325,0.0024,0.0024,0,0,0
0.009,0.00985,0.009,-0.01045,-0.0113,-0.0113,0,0,0
0.0089,0.00975,0.0089,0.01285,0.012,0.012,0,0,0
0.0081,0.00895,0.0081,0.00405,0.0032,0.0032,0,0,0
0.0098,0.01065,0.0098,0.00885,0.008,0.008,0,0,0
0.0042,0.00505,0.0042,-0.01365,-0.0145,-0.0145,0,0,0
