shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21,pair_22,pair_23,pair_24,pair_25
-180,215.75894939899445,216.63970720767975,217.45760476589203,216.19517451524734,218.11201202869415,217.32790750265121,217.61144840717316,217.60909020900726,215.98985958099365,218.2282354235649,218.35842156410217,218.6788519024849,217.4688618183136,216.90959304571152,217.48024785518646,217.81034243106842,217.83681172132492,215.33676278591156,216.16789954900742,215.10536980628967,219.11251360177994,217.46430617570877,217.64297544956207,216.4114882349968,217.65570574998856,218.4353450536728
-179,215.6872968673706,216.57218396663666,217.44051337242126,216.1639478802681,218.0609868168831,217.27919000387192,217.5809485912323,217.5822422504425,215.94094860553741,218.21996665000916,218.26109737157822,218.6486434340477,217.44763588905334,216.86965757608414,217.43365800380707,217.79287767410278,217.8226392865181,215.3266357779503,216.06243187189102,215.0283678174019,219.07571375370026,217.38617324829102,217.5800098180771,216.33307266235352,217.60922634601593,218.38779109716415
-178,215.61522018909454,216.5049308538437,217.4267327785492,216.13469743728638,218.02040857076645,217.23575395345688,217.5530549287796,217.5470228791237,215.88768923282623,218.222491979599,218.16978120803833,218.6163009405136,217.43179368972778,216.83435797691345,217.3906746506691,217.77840042114258,217.80198162794113,215.3190393447876,215.97723251581192,214.9609043598175,219.0381134748459,217.31405740976334,217.51339173316956,216.2705004811287,217.56756108999252,218.33577287197113
-177,215.54237645864487,216.4347734451294,217.4132523536682,216.10561096668243,217.99078387022018,217.1975000500679,217.52872502803802,217.500541806221,215.83321171998978,218.23344099521637,218.08544731140137,218.58243018388748,217.41814172267914,216.79956752061844,217.34959572553635,217.76587617397308,217.77175617218018,215.31277924776077,215.91175484657288,214.90312725305557,219.0028275847435,217.2469590306282,217.44509679079056,216.22319906949997,217.53125101327896,218.2775315642357
-176,215.4712699651718,216.35822182893753,217.39854168891907,216.07733964920044,217.9712221622467,217.16440868377686,217.50864493846893,217.4418721795082,215.78091031312943,218.25020176172256,218.01029640436172,218.5488117337227,217.4086595773697,216.76350128650665,217.30885404348373,217.75530767440796,217.73129999637604,215.30507963895798,215.86311733722687,214.8528255224228,218.97160667181015,217.18286401033401,217.37570053339005,216.19098180532455,217.5001375079155,218.21282821893692
-175,215.40349459648132,216.27423918247223,217.37978327274323,216.04883950948715,217.96017909049988,217.13619792461395,217.49249285459518,217.37320619821548,215.73353898525238,218.27130192518234,217.94526064395905,218.5160630941391,217.40667498111725,216.72530686855316,217.26720213890076,217.74629694223404,217.68077105283737,215.29620838165283,215.82854717969894,214.80748683214188,218.94520539045334,217.12063217163086,217.3093785047531,216.1725047826767,217.47513139247894,218.14246386289597
-174,215.34043222665787,216.1823970079422,217.35334104299545,216.0208107829094,217.9561047554016,217.11074525117874,217.48185098171234,217.29619735479355,215.6922156214714,218.2957289814949,217.89072543382645,218.48250323534012,217.4113363623619,216.68315422534943,217.221599817276,217.73685842752457,217.6212893128395,215.283608853817,215.80374610424042,214.76694184541702,218.92161893844604,217.06073480844498,217.24859201908112,216.16582989692688,217.4564789533615,218.068117082119
-173,215.28230875730515,216.0824818611145,217.31822323799133,215.99528926610947,217.95757472515106,217.08687740564346,217.47698605060577,217.21345192193985,215.65978288650513,218.32169383764267,217.84606289863586,218.4478821158409,217.42043733596802,216.63922494649887,217.16822254657745,217.72537451982498,217.55609035491943,215.26688861846924,215.78359335660934,214.72944182157516,218.8977192044258,217.0037631392479,217.19379544258118,216.1675037741661,217.44491308927536,217.99197149276733
-172,215.23084598779678,215.97304278612137,217.27369624376297,215.97270184755325,217.96227031946182,217.0652116537094,217.4769816994667,217.12726575136185,215.63784539699554,218.34751719236374,217.81004589796066,218.41222763061523,217.43388372659683,216.59654742479324,217.10511380434036,217.71032518148422,217.4874762892723,215.2460042834282,215.76450592279434,214.69372695684433,218.87230372428894,216.95119869709015,217.14480239152908,216.17408847808838,217.44037383794785,217.91543704271317
-171,215.18545949459076,215.85523068904877,217.2205832004547,215.95193880796432,217.96761912107468,217.04721558094025,217.48088020086288,217.041517496109,215.62729769945145,218.3713554739952,217.78013825416565,218.3752537369728,217.4499193429947,216.55986911058426,217.03076839447021,217.6911563873291,217.41648244857788,215.221324801445,215.74367028474808,214.66091239452362,218.84510654211044,216.9029865860939,217.09908485412598,216.18343204259872,217.44031524658203,217.84008848667145
-170,215.1469743847847,215.73068076372147,217.15957921743393,215.93209809064865,217.97242325544357,217.0350417494774,217.4876790046692,216.96117317676544,215.62805926799774,218.39128184318542,217.7546100616455,218.33550173044205,217.46680825948715,216.53523117303848,216.94853693246841,217.6673006415367,217.34316128492355,215.19207894802094,215.7181220650673,214.6332523226738,218.8172025680542,216.85894417762756,217.0560233592987,216.19366937875748,217.44252395629883,217.76740729808807
-169,215.11348408460617,215.60370576381683,217.09263944625854,215.91088700294495,217.97593981027603,217.02975231409073,217.49578815698624,216.8894613981247,215.63801050186157,218.40528619289398,217.7321878671646,218.29297292232513,217.48261719942093,216.52444356679916,216.86337876319885,217.6384897828102,217.26850241422653,215.1570284962654,215.68656384944916,214.61048692464828,218.790147960186,216.82153111696243,217.01585513353348,216.20322483778,217.44446128606796,217.69924992322922
-168,215.08436965942383,215.476771235466,217.02238428592682,215.8880981206894,217.9788996577263,217.03027087450027,217.5029182434082,216.83035498857498,215.65537917613983,218.41207486391068,217.71199786663055,218.24798220396042,217.49593955278397,216.5283626317978,216.7784879207611,217.604079246521,217.19314193725586,215.11513942480087,215.6493837237358,214.59302777051926,218.76632845401764,216.79014617204666,216.98120111227036,216.21061617136002,217.44360250234604,217.6377471089363
-167,215.0587923526764,215.35258984565735,216.9516960978508,215.86289596557617,217.98213291168213,217.03485214710236,217.50680124759674,216.78659600019455,215.67732691764832,218.41258096694946,217.69507896900177,218.20105582475662,217.5059015750885,216.54663330316544,216.6972867846489,217.56378412246704,217.11852771043777,215.06778186559677,215.60828417539597,214.58155798912048,218.74720603227615,216.76473927497864,216.95587968826294,216.21368330717087,217.43723541498184,217.58416426181793
-166,215.03529423475266,215.23464345932007,216.88189667463303,215.8345993757248,217.98507392406464,217.04082864522934,217.50474381446838,216.76002490520477,215.69912791252136,218.4078803062439,217.68150001764297,218.15330892801285,217.51278960704803,216.57917594909668,216.62181794643402,217.51804369688034,217.0454939007759,215.0155372619629,215.56411027908325,214.57489603757858,218.73345464468002,216.74535065889359,216.94422268867493,216.2119807600975,217.4234778881073,217.53956824541092
-165,215.013188123703,215.12549942731857,216.8133825659752,215.803385078907,217.9872640967369,217.0463845729828,217.49456948041916,216.75020426511765,215.7172256708145,218.39918315410614,217.67292684316635,218.10589170455933,217.51693522930145,216.62402093410492,216.5522671341896,217.46799141168594,216.97467291355133,214.95913022756577,215.51782500743866,214.572523355484,218.723837018013,216.7303832769394,216.94791686534882,216.20537984371185,217.40195751190186,217.50479394197464
-164,214.99245429039001,215.028648853302,216.74644434452057,215.76873636245728,217.9876453280449,217.0519424676895,217.4761242866516,216.75603717565536,215.72785395383835,218.38706248998642,217.67079508304596,218.0601054430008,217.51785218715668,216.67873114347458,216.48815488815308,217.41600328683853,216.9070097208023,214.89968883991241,215.47137939929962,214.57409298419952,218.7167907357216,216.7187626361847,216.96517598628998,216.1951413154602,217.37518429756165,217.4805892109871
-163,214.97302520275116,214.94665092229843,216.68164885044098,215.73089337348938,217.98613530397415,217.05770599842072,217.4501746892929,216.7761921286583,215.72899746894836,218.37150084972382,217.67590582370758,218.016672372818,217.5143929719925,216.73964256048203,216.43038815259933,217.36412000656128,216.8431846499443,214.83855336904526,215.42725938558578,214.57834327220917,218.70962339639664,216.70831274986267,216.99355280399323,216.1822122335434,217.34442937374115,217.46658539772034
-162,214.95465576648712,214.87981337308884,216.6201366186142,215.69086748361588,217.98247396945953,217.06381237506866,217.4191029071808,216.80905485153198,215.71960151195526,218.35322082042694,217.68928736448288,217.97659397125244,217.50612592697144,216.80423337221146,216.38004273176193,217.31327730417252,216.7836071252823,214.77564227581024,215.3879628777504,214.58350563049316,218.7001377940178,216.6969501376152,217.02997893095016,216.16771268844604,217.31263422966003,217.461905002594
-161,214.93706065416336,214.8275869488716,216.5637282729149,215.64925652742386,217.97518944740295,217.07097578048706,217.3862046599388,216.85331112146378,215.70002365112305,218.33357620239258,217.71121448278427,217.94041389226913,217.49264234304428,216.8700795173645,216.33767318725586,217.26355075836182,216.72868448495865,214.71145302057266,215.35530537366867,214.58838844299316,218.68597793579102,216.68338471651077,217.07196325063705,216.1532917022705,217.28143656253815,217.46525287628174
-160,214.91948914527893,214.7879245877266,216.5123599767685,215.6057329773903,217.9636309146881,217.07828652858734,217.35391122102737,216.9070786833763,215.67240023612976,218.31319415569305,217.74067521095276,217.90776801109314,217.47363340854645,216.93585282564163,216.30396765470505,217.21584928035736,216.67929577827454,214.64735251665115,215.3304802775383,214.59243977069855,218.66552352905273,216.66621923446655,217.1162548661232,216.1399176120758,217.25164610147476,217.47442680597305
-159,214.90178561210632,214.75785899162292,216.4652437567711,215.56077599525452,217.94792848825455,217.08527171611786,217.3240310549736,216.96833205223083,215.6404196023941,218.29207676649094,217.7761225104332,217.8790088891983,217.44980692863464,217.00038081407547,216.28004777431488,217.17074865102768,216.63618832826614,214.58465135097504,215.31366008520126,214.5965194106102,218.63757693767548,216.64371156692505,217.1597952246666,216.12971764802933,217.22499054670334,217.48686963319778
-158,214.88568150997162,214.73479264974594,216.42279940843582,215.51469737291336,217.92908442020416,217.09236305952072,217.2970649600029,217.03443455696106,215.60779494047165,218.27062904834747,217.81566560268402,217.85389077663422,217.42142289876938,217.0621452331543,216.26565247774124,217.12841469049454,216.6000018119812,214.52540403604507,215.30347979068756,214.60102236270905,218.60220271348953,216.61390054225922,217.19994294643402,216.1264625787735,217.20302325487137,217.5009058713913
-157,214.8730744123459,214.71693807840347,216.3845049738884,215.46873658895493,217.90756314992905,217.10029006004333,217.2724453806877,217.10320556163788,215.57714146375656,218.24955409765244,217.8564448952675,217.8321549296379,217.38827168941498,217.1198332309723,216.26079720258713,217.089049577713,216.57116800546646,214.47077137231827,215.29766184091568,214.6067634820938,218.55986255407333,216.57583355903625,217.23483335971832,216.13087952136993,217.18585401773453,217.51458716392517
-156,214.8662036061287,214.70211899280548,216.34936767816544,215.42701876163483,217.88330161571503,217.10922473669052,217.24892556667328,217.172622859478,215.54957234859467,218.22986507415771,217.8954929113388,217.81363290548325,217.35095006227493,217.17158460617065,216.26427859067917,217.05230677127838,216.54955673217773,214.4222750067711,215.29353684186935,214.61356019973755,218.51083314418793,216.52879977226257,217.26395046710968,216.14382553100586,217.17376482486725,217.52703368663788
-155,214.86588883399963,214.68946993350983,216.3168967962265,215.3928849697113,217.85610854625702,217.1184400320053,217.2251393198967,217.24060136079788,215.52422761917114,218.2120767235756,217.93107122182846,217.79806554317474,217.311805665493,217.21609956026077,216.27429711818695,217.01936239004135,216.53443706035614,214.38143545389175,215.28834146261215,214.6211942434311,218.4559217095375,216.47393226623535,217.28855121135712,216.16471922397614,217.16702741384506,217.53832894563675
-154,214.87094390392303,214.6780260205269,216.28690248727798,215.36796367168427,217.8257960677147,217.12754291296005,217.19917184114456,217.30579507350922,215.49964463710785,218.19616186618805,217.96292197704315,217.78548938035965,217.2721598148346,217.25236719846725,216.28883749246597,216.99094104766846,216.52424973249435,214.3481903076172,215.28101509809494,214.62964922189713,218.39786279201508,216.41204208135605,217.30973136425018,216.19196128845215,217.16518968343735,217.5485638976097
-153,214.87975144386292,214.66704338788986,216.25910526514053,215.3530477285385,217.79328203201294,217.13670325279236,217.1700273156166,217.36648988723755,215.47523468732834,218.18183434009552,217.99034470319748,217.77555292844772,217.23279112577438,217.2791365981102,216.30547231435776,216.96641963720322,216.51723939180374,214.32170248031616,215.27033001184464,214.6381338238716,218.3392173051834,216.34461218118668,217.32806092500687,216.223737180233,217.16709506511688,217.55770194530487
-152,214.8896263241768,214.65764552354813,216.23265779018402,215.34842485189438,217.759820997715,217.14591681957245,217.13620102405548,217.42135459184647,215.4503783583641,218.16911160945892,218.01313722133636,217.76917457580566,217.1938580274582,217.2949623465538,216.32202422618866,216.9449023604393,216.51276570558548,214.30093264579773,215.25507247447968,214.64589178562164,218.28186696767807,216.2734313607216,217.34388065338135,216.25757336616516,217.17124599218369,217.56586170196533
-151,214.89794200658798,214.65016758441925,216.20754140615463,215.35357987880707,217.72669357061386,217.155812561512,217.0961909890175,217.46959418058395,215.42461425065994,218.15757650136948,218.03156250715256,217.76704066991806,217.15528565645218,217.2985098361969,216.33591508865356,216.9254560470581,216.51045507192612,214.2850468158722,215.2344789505005,214.6518971323967,218.22788429260254,216.20052009820938,217.3570162653923,216.29099559783936,217.17677706480026,217.5727310180664
-150,214.90328389406204,214.64345115423203,216.18454641103745,215.36713844537735,217.69525104761124,217.16664439439774,217.0493819117546,217.5111482143402,215.3991283774376,218.14657479524612,218.0456456542015,217.76924949884415,217.1164568066597,217.28927046060562,216.34573411941528,216.90766835212708,216.5103207230568,214.27266782522202,215.2092314362526,214.6552243232727,218.17943620681763,216.12799447774887,217.36726534366608,216.3225405216217,217.18391460180283,217.57872939109802
-149,214.9049972295761,214.63669747114182,216.16453516483307,215.38716155290604,217.66605633497238,217.1782060265541,216.99674880504608,217.54585552215576,215.3744952082634,218.1361552476883,218.0557046532631,217.77627009153366,217.0763698220253,217.26740568876266,216.35259890556335,216.89168393611908,216.5136278271675,214.26285308599472,215.18005084991455,214.65549898147583,218.13912934064865,216.05897718667984,217.37485790252686,216.35108613967896,217.19320660829544,217.58516198396683
