shift,pair_00
-180,216.3637530207634
-179,216.2965320944786
-178,216.25014978647232
-177,216.22260522842407
-176,216.2100424170494
-175,216.20838332176208
-174,216.21057188510895
-173,216.212109208107
-172,216.20895862579346
-171,216.19913530349731
-170,216.18099373579025
-169,216.15428352355957
-168,216.12099862098694
-167,216.08262276649475
-166,216.04100960493088
-165,215.99720007181168
-164,215.95141154527664
-163,215.90418934822083
-162,215.85591173171997
-161,215.80653947591782
-160,215.7559005022049
-159,215.70533293485641
-158,215.65621608495712
-157,215.610182762146
-156,215.56871795654297
-155,215.53305065631866
-154,215.50317293405533
-153,215.4788026213646
-152,215.45955723524094
-151,215.44527912139893
-150,215.43595653772354
-149,215.43110007047653
-148,215.43031203746796
-147,215.43434220552444
-146,215.44449335336685
-145,215.46143114566803
-144,215.48454654216766
-143,215.51335889101028
-142,215.545971930027
-141,215.5806874036789
-140,215.61563009023666
-139,215.65003556013107
-138,215.68361616134644
-137,215.71649837493896
-136,215.74862104654312
-135,215.77968215942383
-134,215.80867117643356
-133,215.83427780866623
-132,215.8563008904457
-131,215.87479776144028
-130,215.89048278331757
-129,215.90397822856903
-128,215.9157156944275
-127,215.92632734775543
-126,215.93707990646362
-125,215.94935965538025
-124,215.9646258354187
-123,215.98415583372116
-122,216.00879979133606
-121,216.03825747966766
-120,216.07110184431076
-119,216.10545539855957
-118,216.13894176483154
-117,216.16922283172607
-116,216.1943696141243
-115,216.21279102563858
-114,216.22451615333557
-113,216.23086023330688
-112,216.2334463596344
-111,216.23385924100876
-110,216.23369139432907
-109,216.2347463965416
-108,216.2383749485016
-107,216.24424690008163
-106,216.25131118297577
-105,216.2591416835785
-104,216.26751923561096
-103,216.2762372493744
-102,216.28459125757217
-101,216.2918604016304
-100,216.2978298664093
-99,216.30226451158524
-98,216.3051713705063
-97,216.30691450834274
-96,216.30817031860352
-95,216.30978852510452
-94,216.31193721294403
-93,216.31445902585983
-92,216.31753796339035
-91,216.32074040174484
-90,216.3237960934639
-89,216.32557862997055
-88,216.32499957084656
-87,216.32138311862946
-86,216.31425589323044
-85,216.30388969182968
-84,216.2914269566536
-83,216.2786283493042
-82,216.2672261595726
-81,216.25841534137726
-80,216.2525516152382
-79,216.24947309494019
-78,216.2488996386528
-77,216.2500216960907
-76,216.2517910003662
-75,216.25369733572006
-74,216.2557988166809
-73,216.25820660591125
-72,216.2608402967453
-71,216.26381677389145
-70,216.26757794618607
-69,216.2727774977684
-68,216.2798007130623
-67,216.28888726234436
-66,216.30006229877472
-65,216.31295162439346
-64,216.32684868574142
-63,216.34068137407303
-62,216.35349816083908
-61,216.36435490846634
-60,216.37239533662796
-59,216.37680941820145
-58,216.3768921494484
-57,216.3725357055664
-56,216.36424803733826
-55,216.35309237241745
-54,216.3402338027954
-53,216.3268992304802
-52,216.31420534849167
-51,216.30286073684692
-50,216.29339200258255
-49,216.2861322760582
-48,216.28187555074692
-47,216.2811702489853
-46,216.28469371795654
-45,216.29330396652222
-44,216.3072122335434
-43,216.3258439898491
-42,216.3480224609375
-41,216.37278693914413
-40,216.3988201022148
-39,216.42487692832947
-38,216.44997197389603
-37,216.47325307130814
-36,216.49425774812698
-35,216.51248836517334
-34,216.5279289484024
-33,216.54066413640976
-32,216.5507680773735
-31,216.55862033367157
-30,216.56460708379745
-29,216.56887131929398
-28,216.57147079706192
-27,216.57238233089447
-26,216.57132476568222
-25,216.56786674261093
-24,216.56141221523285
-23,216.55148965120316
-22,216.53752088546753
-21,216.51925992965698
-20,216.496697306633
-19,216.47009199857712
-18,216.43968611955643
-17,216.40583407878876
-16,216.3691331744194
-15,216.33044922351837
-14,216.29097121953964
-13,216.25202578306198
-12,216.21492213010788
-11,216.18094968795776
-10,216.1515235900879
-9,216.12784296274185
-8,216.11086016893387
-7,216.1008533835411
-6,216.0974798798561
-5,216.0998778939247
-4,216.1067127585411
-3,216.116513133049
-2,216.1275926232338
-1,216.13839626312256
0,216.14768129587173
1,216.17042821645737
2,216.18996596336365
3,216.20568305253983
4,216.2172194123268
5,216.22460740804672
6,216.22788870334625
7,216.22714632749557
8,216.2227264046669
9,216.2150354385376
10,216.2048266530037
11,216.1929481625557
12,216.18030166625977
13,216.167377948761
14,216.15472561120987
15,216.14265549182892
16,216.13170194625854
17,216.12218189239502
18,216.11427742242813
19,216.10779017210007
20,216.10233622789383
21,216.09750348329544
22,216.09324568510056
23,216.08992820978165
24,216.08815187215805
25,216.08875930309296
26,216.09253233671188
27,216.10016894340515
28,216.11174428462982
29,216.12699246406555
30,216.145643055439
31,216.16718298196793
32,216.1906077861786
33,216.2145310640335
34,216.23743164539337
35,216.25845032930374
36,216.27721214294434
37,216.29362791776657
38,216.30793744325638
39,216.3207550048828
40,216.3326318860054
41,216.34376233816147
42,216.35411775112152
43,216.36354231834412
44,216.37151819467545
45,216.37775361537933
46,216.38229143619537
47,216.3849373459816
48,216.3855898976326
49,216.38458329439163
50,216.38211292028427
51,216.3782438635826
52,216.3734160065651
53,216.36793613433838
54,216.36222124099731
55,216.35671091079712
