shift,pair_00
-180,217.60562402009964
-179,217.598162651062
-178,217.59955996274948
-177,217.6065612435341
-176,217.61538058519363
-175,217.62301087379456
-174,217.6289952993393
-173,217.63317048549652
-172,217.6363000869751
-171,217.63834196329117
-170,217.6380733847618
-169,217.6337434053421
-168,217.62467616796494
-167,217.61027961969376
-166,217.59263318777084
-165,217.57398563623428
-164,217.55574244260788
-163,217.53930908441544
-162,217.52547520399094
-161,217.51417446136475
-160,217.5052415728569
-159,217.49746882915497
-158,217.49028652906418
-157,217.48238146305084
-156,217.4732444882393
-155,217.46417158842087
-154,217.4554973244667
-153,217.44768911600113
-152,217.4409853219986
-151,217.43553334474564
-150,217.4314867258072
-149,217.42836916446686
-148,217.42487382888794
-147,217.41944658756256
-146,217.41046005487442
-145,217.39576947689056
-144,217.37379103899002
-143,217.34422451257706
-142,217.30795377492905
-141,217.2674958705902
-140,217.22694194316864
-139,217.19002318382263
-138,217.15897470712662
-137,217.13507288694382
-136,217.1195645928383
-135,217.11276853084564
-134,217.11460483074188
-133,217.1245750784874
-132,217.14146369695663
-131,217.1637412905693
-130,217.18982368707657
-129,217.21824324131012
-128,217.24787998199463
-127,217.27761280536652
-126,217.30609756708145
-125,217.3317425251007
-124,217.353245139122
-123,217.3702192902565
-122,217.38367128372192
-121,217.39471870660782
-120,217.40416985750198
-119,217.4126768708229
-118,217.42061626911163
-117,217.42811900377274
-116,217.4355010986328
-115,217.4431356191635
-114,217.45154523849487
-113,217.4610841870308
-112,217.47248739004135
-111,217.48661065101624
-110,217.50346487760544
-109,217.52209013700485
-108,217.54132390022278
-107,217.55992460250854
-106,217.57638067007065
-105,217.58967578411102
-104,217.59945732355118
-103,217.6057059764862
-102,217.60822761058807
-101,217.60724008083344
-100,217.60357362031937
-99,217.59766221046448
-98,217.58985978364944
-97,217.5808203816414
-96,217.57161688804626
-95,217.56292390823364
-94,217.55558741092682
-93,217.55068933963776
-92,217.54894214868546
-91,217.55047166347504
-90,217.5548986196518
-89,217.56149262189865
-88,217.56941306591034
-87,217.57807004451752
-86,217.58733922243118
-85,217.59785705804825
-84,217.61027532815933
-83,217.62546157836914
-82,217.64437156915665
-81,217.66703259944916
-80,217.693372964859
-79,217.7230132818222
-78,217.75516766309738
-77,217.78894275426865
-76,217.82329905033112
-75,217.85698491334915
-74,217.8885006904602
-73,217.91623270511627
-72,217.93864542245865
-71,217.95475363731384
-70,217.9642874598503
-69,217.96771079301834
-68,217.9658533334732
-67,217.96009635925293
-66,217.95194280147552
-65,217.94295477867126
-64,217.9344785809517
-63,217.9274914264679
-62,217.9228491783142
-61,217.92137604951859
-60,217.9235612154007
-59,217.9296796321869
-58,217.93986719846725
-57,217.95388281345367
-56,217.9707750082016
-55,217.98955357074738
-54,218.00922733545303
-53,218.0285283923149
-52,218.0460121035576
-51,218.06015306711197
-50,218.06955140829086
-49,218.07310938835144
-48,218.0702291727066
-47,218.06100404262543
-46,218.0461567044258
-45,218.02680814266205
-44,218.00423568487167
-43,217.97985059022903
-42,217.95495373010635
-41,217.93080323934555
-40,217.90872198343277
-39,217.89004719257355
-38,217.87582421302795
-37,217.86678344011307
-36,217.8633074760437
-35,217.8654424548149
-34,217.87306213378906
-33,217.8860736489296
-32,217.90408754348755
-31,217.92657381296158
-30,217.95259004831314
-29,217.98103135824203
-28,218.01049464941025
-27,218.03954857587814
-26,218.06694567203522
-25,218.09147030115128
-24,218.11205464601517
-23,218.12775182724
-22,218.13778507709503
-21,218.1414440870285
-20,218.1381657719612
-19,218.12754029035568
-18,218.10973274707794
-17,218.08540910482407
-16,218.05561047792435
-15,218.02181458473206
-14,217.98571801185608
-13,217.94892263412476
-12,217.91284447908401
-11,217.87848210334778
-10,217.8464319705963
-9,217.81685984134674
-8,217.78958022594452
-7,217.76456028223038
-6,217.74214750528336
-5,217.72260355949402
-4,217.70606762170792
-3,217.6927792429924
-2,217.68287414312363
-1,217.67659014463425
0,217.67419403791428
1,217.68950259685516
2,217.71003597974777
3,217.73693883419037
4,217.77121031284332
