shift,pair_00
-180,215.52999359369278
-179,215.43371832370758
-178,215.35184997320175
-177,215.28403341770172
-176,215.22927445173264
-175,215.1872689127922
-174,215.15456527471542
-173,215.12881302833557
-172,215.1070162653923
-171,215.0878689289093
-170,215.07175797224045
-169,215.05943471193314
-168,215.04972279071808
-167,215.04287147521973
-166,215.0397213101387
-165,215.03965520858765
-164,215.0443908572197
-163,215.05504029989243
-162,215.0727635025978
-161,215.09637415409088
-160,215.12546038627625
-159,215.15880817174911
-158,215.19569772481918
-157,215.23627305030823
-156,215.28201800584793
-155,215.3342946767807
-154,215.39364433288574
-153,215.45971751213074
-152,215.53108781576157
-151,215.60516941547394
-150,215.6789920926094
-149,215.75040179491043
-148,215.81712126731873
-147,215.87668710947037
-146,215.92713928222656
-145,215.96623516082764
-144,215.9928281903267
-143,216.0072391629219
-142,216.01029765605927
-141,216.00298935174942
-140,215.986378967762
-139,215.9621877670288
-138,215.93183434009552
-137,215.8967730998993
-136,215.8581525683403
-135,215.81705915927887
-134,215.77525240182877
-133,215.73476380109787
-132,215.69788992404938
-131,215.667111992836
-130,215.64478600025177
-129,215.63181924819946
-128,215.62770372629166
-127,215.6315354704857
-126,215.64208483695984
-125,215.6577085852623
-124,215.6762804389
-123,215.69567424058914
-122,215.71389132738113
-121,215.7296548485756
-120,215.74247097969055
-119,215.75217592716217
-118,215.75929552316666
-117,215.7649883031845
-116,215.77022182941437
-115,215.77558988332748
-114,215.781004011631
-113,215.7861973643303
-112,215.79093253612518
-111,215.79537278413773
-110,215.80027055740356
-109,215.80579948425293
-108,215.81193870306015
-107,215.81859999895096
-106,215.82542896270752
-105,215.83194816112518
-104,215.8379597067833
-103,215.84279519319534
-102,215.84593188762665
-101,215.8475682735443
-100,215.848941385746
-99,215.85082989931107
-98,215.85409462451935
-97,215.85978311300278
-96,215.868239402771
-95,215.87954193353653
-94,215.89334857463837
-93,215.9088886976242
-92,215.9256443977356
-91,215.94289374351501
-90,215.9602748155594
-89,215.9774193763733
-88,215.99375987052917
-87,216.00891089439392
-86,216.0223678946495
-85,216.03354972600937
-84,216.0420491695404
-83,216.04792273044586
-82,216.05138891935349
-81,216.05264669656754
-80,216.05194610357285
-79,216.04959213733673
-78,216.04575341939926
-77,216.0403397679329
-76,216.0330268740654
-75,216.02323466539383
-74,216.01064443588257
-73,215.99533820152283
-72,215.9777266383171
-71,215.95865190029144
-70,215.93934309482574
-69,215.92116302251816
-68,215.9053853750229
-67,215.89307445287704
-66,215.88477206230164
-65,215.88109076023102
-64,215.88301849365234
-63,215.89141070842743
-62,215.90710896253586
-61,215.93063187599182
-60,215.96148532629013
-59,215.99911856651306
-58,216.04232734441757
-57,216.08939909934998
-56,216.138285279274
-55,216.18668454885483
-54,216.2318850159645
-53,216.2711282968521
-52,216.30185782909393
-51,216.32215613126755
-50,216.3307402729988
-49,216.3271616101265
-48,216.31164187192917
-47,216.2856530547142
-46,216.25121140480042
-45,216.2106962800026
-44,216.16673350334167
-43,216.12197279930115
-42,216.07850164175034
-41,216.03799027204514
-40,216.0020975470543
-39,215.97213530540466
-38,215.94936382770538
-37,215.93458145856857
-36,215.92799228429794
-35,215.9291651248932
-34,215.9373300075531
-33,215.951236307621
-32,215.96965551376343
-31,215.99130088090897
-30,216.01516783237457
-29,216.04014843702316
-28,216.06511217355728
-27,216.0890256166458
-26,216.11098092794418
-25,216.13013011217117
-24,216.14568597078323
-23,216.15691024065018
-22,216.16365575790405
-21,216.16587084531784
-20,216.1635318994522
-19,216.15680861473083
-18,216.14631539583206
-17,216.13267916440964
-16,216.1166009902954
-15,216.0988947749138
-14,216.08049815893173
-13,216.06239634752274
-12,216.04518461227417
-11,216.028988301754
-10,216.01358300447464
-9,215.99820637702942
-8,215.9821299314499
-7,215.96467918157578
