shift,pair_00
-180,215.69007700681686
-179,215.65120261907578
-178,215.61557614803314
-177,215.58418405056
-176,215.5566781759262
-175,215.53368669748306
-174,215.51485216617584
-173,215.49846917390823
-172,215.48350965976715
-171,215.46873277425766
-170,215.45322293043137
-169,215.4356654882431
-168,215.41529577970505
-167,215.39193153381348
-166,215.36493051052094
-165,215.33519119024277
-164,215.30377691984177
-163,215.2724683880806
-162,215.24156922101974
-161,215.20973408222198
-160,215.17649692296982
-159,215.14143991470337
-158,215.10463231801987
-157,215.06778532266617
-156,215.03147453069687
-155,214.99631768465042
-154,214.96368831396103
-153,214.93575263023376
-152,214.91226106882095
-151,214.89129334688187
-150,214.87142705917358
-149,214.85241824388504
-148,214.8351492881775
-147,214.82041585445404
-146,214.80968010425568
-145,214.80430400371552
-144,214.80409783124924
-143,214.8079879283905
-142,214.8153277039528
-141,214.82555866241455
-140,214.83843326568604
-139,214.8535407781601
-138,214.8706670999527
-137,214.89046877622604
-136,214.91433161497116
-135,214.94198191165924
-134,214.97188687324524
-133,215.0022321343422
-132,215.03141731023788
-131,215.0584318637848
-130,215.08301043510437
-129,215.10573357343674
-128,215.12770730257034
-127,215.14944511651993
-126,215.17152780294418
-125,215.1944585442543
-124,215.21868085861206
-123,215.24502515792847
-122,215.27410584688187
-121,215.30631870031357
-120,215.3418611884117
-119,215.38037198781967
-118,215.4213747382164
-117,215.4633368253708
-116,215.50367558002472
-115,215.53931134939194
-114,215.5670566558838
-113,215.58401954174042
-112,215.5891625881195
-111,215.5826598405838
-110,215.56559371948242
-109,215.53991389274597
-108,215.50850731134415
-107,215.47434788942337
-106,215.44074648618698
-105,215.41083586215973
-104,215.38726288080215
-103,215.37129598855972
-102,215.36308866739273
-101,215.36185777187347
-100,215.3664174079895
-99,215.37541741132736
-98,215.38746201992035
-97,215.40088534355164
-96,215.4144448041916
-95,215.42703568935394
-94,215.43801707029343
-93,215.4471351504326
-92,215.4542846083641
-91,215.45963215827942
-90,215.46409237384796
-89,215.46950602531433
-88,215.4775606393814
-87,215.4886475801468
-86,215.50275367498398
-85,215.51981961727142
-84,215.53969210386276
-83,215.56224048137665
-82,215.5870122909546
-81,215.61352813243866
-80,215.6408342719078
-79,215.66740095615387
-78,215.69147497415543
-77,215.7115779519081
-76,215.7265363931656
-75,215.73569744825363
-74,215.73937475681305
