shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14
-180,216.3304427266121,217.39588660001755,218.626320540905,218.75201773643494,216.5706244111061,216.43208158016205,217.49581491947174,216.11831897497177,217.90378922224045,218.6455815434456,215.78365921974182,217.32855433225632,217.78659147024155,216.04509955644608,216.5558397769928
-179,216.21522909402847,217.3170679807663,218.5740494132042,218.68850147724152,216.5344894528389,216.3144469857216,217.46359711885452,216.02343541383743,217.87310951948166,218.53062522411346,215.73697447776794,217.298983335495,217.70810687541962,215.94308894872665,216.45863008499146
-178,216.10492330789566,217.24807035923004,218.52693670988083,218.62537848949432,216.50511407852173,216.19207853078842,217.44155246019363,215.93709594011307,217.84151524305344,218.4242438673973,215.68326145410538,217.26877361536026,217.62631458044052,215.8397628068924,216.35471856594086
-177,216.00064897537231,217.18602645397186,218.48547315597534,218.56312960386276,216.48025506734848,216.06581288576126,217.4294936656952,215.8595750927925,217.80923050642014,218.32727205753326,215.6225478053093,217.24258345365524,217.54590505361557,215.73723262548447,216.24864614009857
-176,215.90302163362503,217.12787514925003,218.45036828517914,218.50055348873138,216.46089470386505,215.93842667341232,217.4273869395256,215.78973561525345,217.77575087547302,218.24096220731735,215.55410677194595,217.22368669509888,217.4710659980774,215.63871961832047,216.14606940746307
-175,215.81358796358109,217.0706571340561,218.4228339791298,218.43790405988693,216.4468885064125,215.81274491548538,217.43428260087967,215.72585809230804,217.74093693494797,218.16656213998795,215.47873884439468,217.21504718065262,217.40516471862793,215.5455937385559,216.0493199825287
-174,215.73333340883255,217.01310813426971,218.40223675966263,218.37460732460022,216.43768483400345,215.69281268119812,217.44928151369095,215.66637140512466,217.70411479473114,218.10325008630753,215.39907890558243,217.2157722711563,217.34954541921616,215.45897936820984,215.96053820848465
-173,215.66464740037918,216.956234395504,218.3869944214821,218.3113158941269,216.43066757917404,215.5834043622017,217.47151505947113,215.6112065911293,217.66345524787903,218.05027043819427,215.3181438446045,217.22296702861786,217.30414271354675,215.3793853521347,215.8794268965721
-172,215.60902673006058,216.89960730075836,218.3745957016945,218.24914407730103,216.42543178796768,215.4888721704483,217.4998961687088,215.5614568591118,217.61887925863266,218.0055911540985,215.2386006116867,217.23458552360535,217.26801544427872,215.3064557313919,215.80600702762604
-171,215.56697458028793,216.8419470191002,218.36334657669067,218.19008874893188,216.42046701908112,215.41205537319183,217.53260779380798,215.51846158504486,217.57094782590866,217.96617758274078,215.16061401367188,217.24912923574448,217.24030381441116,215.24238431453705,215.740851521492
-170,215.5397893190384,216.78376299142838,218.35171711444855,218.13490742444992,216.41537708044052,215.3549377322197,217.56924080848694,215.48368793725967,217.52001398801804,217.92987310886383,215.08490693569183,217.2646780014038,217.21871399879456,215.18979626893997,215.68518435955048
-169,215.52752315998077,216.72482937574387,218.33878135681152,218.08558386564255,216.41027051210403,215.31780487298965,217.60820960998535,215.45839720964432,217.4674106836319,217.894457757473,215.01282447576523,217.27869153022766,217.19949120283127,215.14929735660553,215.6403700709343
-168,215.53010940551758,216.66504782438278,218.32491105794907,218.04595518112183,216.40436857938766,215.29955744743347,217.64898818731308,215.44321924448013,217.4144943356514,217.85817831754684,214.9444488286972,217.28721445798874,217.18003857135773,215.12005096673965,215.60742449760437
-167,215.54764419794083,216.60405886173248,218.3105982542038,218.0177184343338,216.3966081738472,215.29598039388657,217.69094264507294,215.4380343556404,217.36508506536484,217.82013261318207,214.88115441799164,217.28843289613724,217.15756112337112,215.10004687309265,215.58685863018036
-166,215.5782499909401,216.54261577129364,218.295212328434,218.0019434094429,216.38567167520523,215.30170321464539,217.73323822021484,215.44313830137253,217.3215258717537,217.77988994121552,214.82324010133743,217.2816703915596,217.12959492206573,215.08744925260544,215.57863503694534
-165,215.6196784377098,216.48156189918518,218.27863866090775,217.99720585346222,216.37021702528,215.31217068433762,217.77415645122528,215.45791774988174,217.28657937049866,217.73626321554184,214.77131861448288,217.26705712080002,217.09485465288162,215.07909405231476,215.58171701431274
-164,215.66928029060364,216.42233061790466,218.26071578264236,218.00089091062546,216.34810930490494,215.32265877723694,217.80978167057037,215.48130309581757,217.2618401646614,217.68967247009277,214.72401469945908,217.244078874588,217.05196219682693,215.0739285349846,215.59421056509018
-163,215.7244183421135,216.36636227369308,218.24092066287994,218.01074343919754,216.31728619337082,215.32948809862137,217.8381289243698,215.51069903373718,217.24645322561264,217.64166551828384,214.68037909269333,217.21269088983536,217.0004447698593,215.07094502449036,215.61410295963287
-162,215.78133833408356,216.3134679198265,218.22036182880402,218.0254506468773,216.27830106019974,215.33029639720917,217.857750415802,215.54540461301804,217.2401602268219,217.59323298931122,214.63942444324493,217.1726349592209,216.9408186674118,215.06850403547287,215.63980013132095
-161,215.83710181713104,216.26288038492203,218.19956386089325,218.04468148946762,216.23184895515442,215.32254844903946,217.86780035495758,215.58382815122604,217.2435823082924,217.545669734478,214.60063993930817,217.12435895204544,216.87518548965454,215.0653692483902,215.66937482357025
-160,215.88977348804474,216.21312433481216,218.17974203824997,218.0674872994423,216.17937237024307,215.30454450845718,217.86732572317123,215.62289029359818,217.25703209638596,217.5007216334343,214.56472033262253,217.0685357451439,216.80636990070343,215.06251907348633,215.70040917396545
-159,215.9377916455269,216.1628229022026,218.16293436288834,218.09168481826782,216.1207030415535,215.27595031261444,217.85592913627625,215.66044759750366,217.2802887558937,217.46019798517227,214.533272087574,217.00686275959015,216.73686057329178,215.0613420009613,215.73142659664154
-158,215.98094815015793,216.1150605082512,218.15109533071518,218.11494183540344,216.05632078647614,215.23753356933594,217.83470803499222,215.69383281469345,217.3131610751152,217.42589020729065,214.50754290819168,216.9413486123085,216.67003166675568,215.06311810016632,215.76008933782578
-157,216.01983273029327,216.07534950971603,218.14628195762634,218.13534116744995,215.9887796640396,215.19104880094528,217.8052580356598,215.72090631723404,217.35500741004944,217.3998445868492,214.48771131038666,216.87509036064148,216.6094872355461,215.06890320777893,215.7846119403839
-156,216.05475330352783,216.04528385400772,218.14903807640076,218.15021133422852,215.9204454421997,215.1386640071869,217.76969403028488,215.74048113822937,217.40414834022522,217.3839167356491,214.47434335947037,216.81083005666733,216.558453977108,215.07870644330978,215.8032866716385
-155,216.08562219142914,216.02271854877472,218.15889048576355,218.15768384933472,215.8535439968109,215.08341699838638,217.73040181398392,215.7530142068863,217.45773762464523,217.37871778011322,214.4675953388214,216.75100481510162,216.51956045627594,215.09268128871918,215.8145923614502
-154,216.11201351881027,216.0060751438141,218.1750723719597,218.1566727757454,215.7899239063263,215.02750420570374,217.68892860412598,215.75919246673584,217.51376259326935,217.3837879896164,214.46805435419083,216.69663667678833,216.49575293064117,215.11144012212753,215.81677377223969
-153,216.13348430395126,215.9946585893631,218.1965453028679,218.14697390794754,215.73111349344254,214.97321552038193,217.64629197120667,215.76039052009583,217.57063496112823,217.3981214761734,214.47523492574692,216.64877152442932,216.4892749786377,215.1344992518425,215.80881941318512
-152,216.14960372447968,215.98815006017685,218.2221730351448,218.12931555509567,215.67858457565308,214.9225499033928,217.60356611013412,215.75784575939178,217.62659567594528,217.42026847600937,214.48853820562363,216.60680997371674,216.50055289268494,215.1615208387375,215.79130083322525
-151,216.16028332710266,215.98566275835037,218.2507622241974,218.1055418252945,215.6341708302498,214.877046585083,217.56144541502,215.75189965963364,217.680151283741,217.44852834939957,214.5073897242546,216.56986194849014,216.5288147330284,215.19188433885574,215.76361858844757
-150,216.1654371023178,215.98694270849228,218.2814415693283,218.0770537853241,215.5975837111473,214.83821469545364,217.5205643773079,215.74280488491058,217.72998130321503,217.48086857795715,214.5308274626732,216.53681355714798,216.57211828231812,215.22515112161636,215.72628504037857
-149,216.16485118865967,215.99168783426285,218.31340497732162,218.04466825723648,215.5684767961502,214.80685776472092,217.48215407133102,215.73198586702347,217.7742629647255,217.51583808660507,214.5589708685875,216.50701582431793,216.6277655363083,215.26022744178772,215.67974185943604
-148,216.15853071212769,215.99902814626694,218.345440864563,218.00911378860474,215.54725295305252,214.78279721736908,217.4479462504387,215.72069263458252,217.81168812513351,217.55220746994019,214.5918124318123,216.4809871315956,216.69301760196686,215.29622542858124,215.62575393915176
-147,216.1462180018425,216.00894153118134,218.37652558088303,217.97105675935745,215.53519690036774,214.76577419042587,217.4191037416458,215.71039807796478,217.84128832817078,217.58862954378128,214.62824541330338,216.45950561761856,216.76503425836563,215.33210676908493,215.5661500096321
-146,216.12829673290253,216.0211569070816,218.40553706884384,217.93154990673065,215.53418922424316,214.7560802102089,217.39593762159348,215.70292723178864,217.86189538240433,217.62377101182938,214.66714507341385,216.4430696964264,216.8406982421875,215.36795908212662,215.5021304488182
-145,216.1039561033249,216.0352177619934,218.43114405870438,217.89115691184998,215.54602694511414,214.75427174568176,217.37820917367935,215.69982188940048,217.8723465204239,217.656283557415,214.70696103572845,216.43229222297668,216.9169779419899,215.40324997901917,215.43492704629898
-144,216.07191997766495,216.0514070391655,218.45229357481003,217.85034370422363,215.57053595781326,214.75967168807983,217.36523085832596,215.7018727660179,217.87226003408432,217.68526476621628,214.74647462368011,216.42815566062927,216.99055963754654,215.43816512823105,215.36612033843994
-143,216.0310235619545,216.07106095552444,218.46874630451202,217.8103693127632,215.60600692033768,214.77126228809357,217.35653674602509,215.70961999893188,217.86177784204483,217.7104393839836,214.78488302230835,216.43127584457397,217.05820059776306,215.47170227766037,215.2971424460411
-142,215.9810390472412,216.09396666288376,218.4806415438652,217.77289056777954,215.64964044094086,214.78832149505615,217.35124897956848,215.72268813848495,217.84211194515228,217.7318373322487,214.8219683766365,216.44157165288925,217.11693733930588,215.50337255001068,215.23018872737885
-141,215.92390322685242,216.11873149871826,218.48850387334824,217.73957949876785,215.69868063926697,214.8110608458519,217.34792071580887,215.73918813467026,217.81378591060638,217.74975496530533,214.8572445511818,216.45880609750748,217.16524702310562,215.5319316983223,215.16742593050003
-140,215.8624034523964,216.14439076185226,218.49282145500183,217.71183788776398,215.74983555078506,214.8389948606491,217.34527778625488,215.75643545389175,217.77752304077148,217.76419752836227,214.89001458883286,216.4822637438774,217.20254093408585,215.55767464637756,215.11236196756363
