shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18
-180,212.69356089830399,209.15432834625244,209.35461658239365,212.21279507875443,211.14808189868927,209.91162145137787,211.57162111997604,217.3987501859665,211.76146465539932,210.39825481176376,211.44283044338226,210.7804120182991,211.1010187268257,209.94187772274017,212.12329590320587,218.05130845308304,212.66428518295288,211.10260528326035,212.1841452717781
-179,212.6410595178604,209.04049974679947,209.2750185728073,212.18109333515167,211.0044372677803,209.80037343502045,211.41884392499924,217.31995338201523,211.66899651288986,210.26009833812714,211.36232072114944,210.68737667798996,211.01102954149246,209.83182221651077,212.0751559138298,218.01306533813477,212.66464632749557,211.02070665359497,212.15068185329437
-178,212.5778831243515,208.9332930445671,209.20494318008423,212.1551097035408,210.88272833824158,209.69376760721207,211.2861481308937,217.23767983913422,211.57605510950089,210.11646777391434,211.29505628347397,210.5930951833725,210.93521428108215,209.7068464756012,212.01599818468094,217.97748231887817,212.65579026937485,210.94843566417694,212.10865926742554
-177,212.50715398788452,208.82512855529785,209.14296454191208,212.1358289718628,210.78404319286346,209.59669029712677,211.17169803380966,217.15378546714783,211.48366618156433,209.96526110172272,211.2382819056511,210.49720364809036,210.86960512399673,209.5720421075821,211.94929420948029,217.94214671850204,212.63426929712296,210.8853086233139,212.0602353811264
-176,212.43232887983322,208.7162322998047,209.09025716781616,212.12094193696976,210.70553541183472,209.51611495018005,211.07540345191956,217.0703810453415,211.3951905965805,209.8124861717224,211.1871212720871,210.39510452747345,210.80919283628464,209.42919981479645,211.87218499183655,217.90384823083878,212.59832382202148,210.83397233486176,212.00061571598053
-175,212.3593607544899,208.60319250822067,209.0518137216568,212.10681301355362,210.6440235376358,209.45339906215668,210.99628460407257,216.98822766542435,211.31567883491516,209.66452968120575,211.1357815861702,210.28569793701172,210.7530432343483,209.28121155500412,211.7822346687317,217.86084085702896,212.54859745502472,210.79204672574997,211.93110293149948
-174,212.2892343401909,208.48190873861313,209.02928751707077,212.09009569883347,210.59655910730362,209.40414482355118,210.934141933918,216.90911257266998,211.24353528022766,209.52441668510437,211.08002388477325,210.17333006858826,210.702612221241,209.13715863227844,211.67931830883026,217.81115835905075,212.4900513291359,210.75733149051666,211.85300999879837
-173,212.22291004657745,208.35073971748352,209.02396458387375,212.0691447854042,210.55982315540314,209.3627486228943,210.89073079824448,216.8359044790268,211.18048721551895,209.39658349752426,211.02107244729996,210.06104284524918,210.65385258197784,208.99664801359177,211.5663885474205,217.7549387216568,212.42907524108887,210.73006129264832,211.7687091231346
-172,212.16225492954254,208.21294766664505,209.0337811112404,212.04204446077347,210.5304405093193,209.32040852308273,210.86552143096924,216.77029246091843,211.12610918283463,209.2860934138298,210.96047860383987,209.95186161994934,210.60449016094208,208.8621470928192,211.44928866624832,217.6929074525833,212.3688896894455,210.70800411701202,211.67823201417923
-171,212.1097750067711,208.07138401269913,209.05757176876068,212.0084329843521,210.50691026449203,209.27198296785355,210.85788869857788,216.71450519561768,211.07813614606857,209.19560080766678,210.89895683526993,209.84933763742447,210.55696749687195,208.73738211393356,211.33363765478134,217.62672704458237,212.31691634655,210.68858075141907,211.58352547883987
-170,212.0685310959816,207.93189024925232,209.09429281949997,211.9691699743271,210.4918162226677,209.21506822109222,210.86491644382477,216.66980111598969,211.0354835987091,209.12585484981537,210.83619636297226,209.7537487745285,210.5108892917633,208.62090426683426,211.2261796593666,217.55963003635406,212.27680510282516,210.6661221385002,211.48393321037292
-169,212.0378042459488,207.7979149222374,209.1426050066948,211.92384070158005,210.48956698179245,209.15052247047424,210.88114100694656,216.6372967362404,210.99590253829956,209.0788711309433,210.7709732055664,209.66582268476486,210.4643634557724,208.51603084802628,211.13106226921082,217.49399054050446,212.24773359298706,210.63735443353653,211.37829446792603
-168,212.01703709363937,207.66899609565735,209.19892102479935,211.87522304058075,210.4993816614151,209.08006858825684,210.90193229913712,216.61665469408035,210.95876586437225,209.05426394939423,210.70331019163132,209.59002405405045,210.41701662540436,208.42433559894562,211.0499347448349,217.43243473768234,212.23013615608215,210.59717839956284,211.2685541510582
