shift,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19,pair_20,pair_21
-180,217.47209119796753,220.0616849064827,217.47209119796753,220.0616849064827,217.85930579900742,215.65368103981018,217.97935962677002,217.14231777191162,216.94490146636963,216.78297621011734,216.82194250822067,216.2563378214836,216.11952930688858,217.8704570531845,216.37904596328735,218.34455293416977,217.55311822891235,216.32779014110565,216.66498148441315,216.2729155421257
-179,217.3478363752365,219.98973232507706,217.3478363752365,219.98973232507706,217.74246895313263,215.5740213394165,217.93210488557816,217.0837047100067,216.9171445965767,216.71543687582016,216.7558792233467,216.22803729772568,216.09396290779114,217.7989986538887,216.33560407161713,218.3240532875061,217.46917927265167,216.22318428754807,216.59602290391922,216.2367598414421
-178,217.2239465713501,219.92211383581161,217.2239465713501,219.92211383581161,217.63288605213165,215.49556320905685,217.88486844301224,217.01959151029587,216.88692396879196,216.6501790881157,216.68599396944046,216.20351248979568,216.06810438632965,217.73252367973328,216.2918255329132,218.296213388443,217.38745695352554,216.140172123909,216.5315448641777,216.2015125155449
-177,217.1018809080124,219.85985749959946,217.1018809080124,219.85985749959946,217.5327666401863,215.42040014266968,217.83758652210236,216.94773983955383,216.8508340716362,216.58790165185928,216.61194610595703,216.17921388149261,216.04110157489777,217.66936898231506,216.24692690372467,218.26199024915695,217.31088012456894,216.0804033279419,216.47478449344635,216.1643364429474
-176,216.98314756155014,219.80333125591278,216.98314756155014,219.80333125591278,217.4436373114586,215.34993171691895,217.79171788692474,216.86975991725922,216.80742686986923,216.52955627441406,216.53421580791473,216.15439772605896,216.012761592865,217.60894060134888,216.20078307390213,218.22129786014557,217.24139833450317,216.0441376566887,216.42988860607147,216.12286031246185
-175,216.86914491653442,219.75402438640594,216.86914491653442,219.75402438640594,217.36803448200226,215.28762662410736,217.74994337558746,216.786840736866,216.75537079572678,216.47529274225235,216.45253878831863,216.12985235452652,215.98186254501343,217.55086106061935,216.1550733447075,218.17482805252075,217.17966336011887,216.030668258667,216.3982536792755,216.07714092731476
-174,216.7631288766861,219.71213102340698,216.7631288766861,219.71213102340698,217.30704599618912,215.2339564561844,217.71512830257416,216.70657229423523,216.69637155532837,216.42407912015915,216.36642158031464,216.10465532541275,215.9474060535431,217.4933649301529,216.11050111055374,218.12220931053162,217.12560272216797,216.03812330961227,216.3778311610222,216.02862364053726
-173,216.66796278953552,219.67726784944534,216.66796278953552,219.67726784944534,217.25989997386932,215.18958336114883,217.68888252973557,216.63517874479294,216.6334969997406,216.37455093860626,216.2775737643242,216.0797460079193,215.9086008667946,217.43522131443024,216.06783366203308,218.06294858455658,217.07887423038483,216.06577908992767,216.36534321308136,215.976806640625
-172,216.58549922704697,219.64867889881134,216.58549922704697,219.64867889881134,217.2253310084343,215.15460187196732,217.67189526557922,216.57487523555756,216.5700128674507,216.32741802930832,216.18890458345413,216.0550501346588,215.86564016342163,217.375265955925,216.0280853509903,217.99866753816605,217.03790533542633,216.11069256067276,216.35604083538055,215.9200683236122
-171,216.51878881454468,219.62563961744308,216.51878881454468,219.62563961744308,217.2017798423767,215.12853837013245,217.66453117132187,216.52630984783173,216.5088016986847,216.28179264068604,216.10305482149124,216.02946025133133,215.81848710775375,217.31215924024582,215.99165177345276,217.93278682231903,217.00019401311874,216.16918540000916,216.34531468153,215.85635954141617
