shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14
-180,215.56691938638687,215.59490942955017,217.3195920586586,217.65580141544342,217.83493930101395,217.61678141355515,216.1355898976326,218.81390684843063,218.74977850914001,215.9178211092949,219.0216076374054,216.27921921014786,215.62774407863617,215.91892385482788,218.2252825498581
-179,215.53639161586761,215.54623937606812,217.27721881866455,217.60502535104752,217.74790585041046,217.5787651538849,216.02557945251465,218.7675685286522,218.6960881948471,215.8286880850792,218.95574831962585,216.23924785852432,215.5528011918068,215.9294187426567,218.15955197811127
-178,215.50966602563858,215.50497913360596,217.23125225305557,217.55364114046097,217.66881918907166,217.5335811972618,215.92385494709015,218.71910053491592,218.64565706253052,215.75360089540482,218.88319981098175,216.20625746250153,215.4849094748497,215.9435378909111,218.09120333194733
-177,215.48487478494644,215.47275978326797,217.18311458826065,217.50255197286606,217.5973624587059,217.4809723496437,215.8315653204918,218.66807514429092,218.60023242235184,215.69004958868027,218.80567598342896,216.18103873729706,215.42250472307205,215.958187520504,218.02118581533432
-176,215.4590083360672,215.4502553343773,217.1369234919548,217.4534636735916,217.53154474496841,217.4205060005188,215.74871093034744,218.61570727825165,218.5613107085228,215.63738536834717,218.72587084770203,216.1670966744423,215.36402106285095,215.96932619810104,217.94901913404465
-175,215.4290336370468,215.43725901842117,217.09565788507462,217.40768378973007,217.46972328424454,217.35388201475143,215.67855751514435,218.56280606985092,218.52917969226837,215.59522545337677,218.6462643146515,216.1657588481903,215.30669689178467,215.97532922029495,217.8747895359993
-174,215.3953633904457,215.4306401014328,217.06190806627274,217.3659598827362,217.4095270037651,217.2849594950676,215.62262213230133,218.5105996131897,218.5034617781639,215.56470745801926,218.5694027543068,216.17615765333176,215.24694335460663,215.97619253396988,217.80009800195694
-173,215.3606702685356,215.42657697200775,217.03662586212158,217.32773965597153,217.34729051589966,217.21723973751068,215.58267813920975,218.46083372831345,218.4835066795349,215.54522228240967,218.4960953593254,216.19678276777267,215.18294310569763,215.97177267074585,217.72595465183258
-172,215.32697796821594,215.4227164387703,217.01813739538193,217.29346984624863,217.28033643960953,217.1531966328621,215.5580227971077,218.4152261018753,218.46777963638306,215.53520512580872,218.42757564783096,216.22480982542038,215.11360484361649,215.96244084835052,217.65301430225372
-171,215.2946584224701,215.42048919200897,217.00385177135468,217.2633735537529,217.20900565385818,217.09433162212372,215.54866755008698,218.37489187717438,218.45521676540375,215.53418064117432,218.36507284641266,216.25581854581833,215.03833889961243,215.94883143901825,217.58195912837982
-170,215.2632737159729,215.41987246274948,216.99243080615997,217.2381860613823,217.13336151838303,217.04144936800003,215.55446809530258,218.33956664800644,218.44488561153412,215.54090774059296,218.30788004398346,216.286159157753,214.96017825603485,215.93029004335403,217.515194773674
-169,215.23408782482147,215.42232298851013,216.98265290260315,217.21757626533508,217.05465811491013,216.9968103170395,215.57354521751404,218.30768978595734,218.43682312965393,215.55163872241974,218.25639724731445,216.31371009349823,214.8835676908493,215.9063795208931,217.45508420467377
-168,215.20611000061035,215.42774802446365,216.97335523366928,217.1998256444931,216.97480779886246,216.96073758602142,215.60136729478836,218.2769374847412,218.43122559785843,215.56374198198318,218.2099180817604,216.33698457479477,214.81111454963684,215.8762360215187,217.40392649173737
-167,215.17757904529572,215.43674194812775,216.96429532766342,217.18466919660568,216.8956418633461,216.93334424495697,215.63342130184174,218.24576365947723,218.42727410793304,215.57597732543945,218.16840755939484,216.35403180122375,214.7450367808342,215.83997094631195,217.364770591259
-166,215.14575546979904,215.44955575466156,216.95557349920273,217.17159342765808,216.82057970762253,216.91409355401993,215.6671466231346,218.213458776474,218.4253974556923,215.589073240757,218.13360404968262,216.36282187700272,214.68533140420914,215.79711097478867,217.33993816375732
-165,215.10868346691132,215.46441686153412,216.94733941555023,217.1602765917778,216.7518550157547,216.90346771478653,215.70160973072052,218.1794558763504,218.42470967769623,215.60376369953156,218.10636806488037,216.36173629760742,214.63221669197083,215.74800699949265,217.33004838228226
-164,215.06789392232895,215.48016566038132,216.9400759935379,217.15070337057114,216.68991255760193,216.90117990970612,215.7372369170189,218.14374458789825,218.42340207099915,215.62108254432678,218.08638739585876,216.35019236803055,214.58385556936264,215.6945949792862,217.3350111246109
-163,215.0231350660324,215.49439376592636,216.93360090255737,217.14294785261154,216.63510876893997,216.90724623203278,215.77464884519577,218.1076250076294,218.41987019777298,215.64201247692108,218.07280230522156,216.32808583974838,214.53924655914307,215.63959646224976,217.35405433177948
-162,214.97411793470383,215.50509601831436,216.92708545923233,217.1367263197899,216.58695739507675,216.9203786253929,215.8140305876732,218.07256513834,218.41267162561417,215.66712927818298,218.06454354524612,216.29702764749527,214.4985517859459,215.58573359251022,217.38547146320343
-161,214.9207103252411,215.51098901033401,216.92108637094498,217.1314253807068,216.54531371593475,216.93965578079224,215.85472130775452,218.03960978984833,218.40153008699417,215.6950706243515,218.05925196409225,216.26016914844513,214.4620702266693,215.53572064638138,217.4271644949913
-160,214.86287569999695,215.5116958618164,216.91589909791946,217.12619751691818,216.5099942088127,216.96329420804977,215.89561599493027,218.0094256401062,218.38624054193497,215.7245455980301,218.05435943603516,216.2206095457077,214.42982071638107,215.49120843410492,217.47669130563736
-159,214.80230849981308,215.50721043348312,216.91233909130096,217.1203894019127,216.48022496700287,216.98965102434158,215.9361156821251,217.98222547769547,218.3668568134308,215.75386065244675,218.04747289419174,216.17985355854034,214.4031634926796,215.45291763544083,217.5309739112854
-158,214.74005526304245,215.4996600151062,216.9095264673233,217.11376410722733,216.4558692574501,217.01690542697906,215.97505831718445,217.95809030532837,218.3450866341591,215.78094387054443,218.03700733184814,216.13771265745163,214.38243395090103,215.42093116044998,217.58707028627396
-157,214.6766591668129,215.4898533821106,216.90625166893005,217.1060220003128,216.43707621097565,217.04497849941254,216.0118356347084,217.9360567331314,218.3214824795723,215.80362248420715,218.02178388834,216.09378772974014,214.368714928627,215.39494383335114,217.64204078912735
-156,214.6135477423668,215.47970628738403,216.9021998643875,217.09755593538284,216.42582058906555,217.07348638772964,216.04573142528534,217.91541254520416,218.29739278554916,215.82002574205399,218.00142347812653,216.04838174581528,214.36143720149994,215.37361985445023,217.6923902630806
