overlap_fraction,overlap_percent,pair_name,expected_shift,best_shift,signed_error,abs_error,peak_corr,status
0.4,40.0,pair_18,120.0,118.0,-2.0,2.0,216.49877959489822,ok
0.4,40.0,pair_19,120.0,118.0,-2.0,2.0,218.34631615877151,ok
0.42,42.0,pair_00,116.00000000000001,180.0,63.999999999999986,63.999999999999986,217.2402331829071,ok
0.44,44.0,pair_00,112.00000000000001,180.0,67.99999999999999,67.99999999999999,219.21047604084015,ok
0.45,45.0,pair_00,110.00000000000001,177.0,66.99999999999999,66.99999999999999,217.1227889060974,ok
0.45,45.0,pair_01,110.00000000000001,180.0,69.99999999999999,69.99999999999999,218.73283344507217,ok
0.45,45.0,pair_02,110.00000000000001,108.0,-2.000000000000014,2.000000000000014,218.23209941387177,ok
0.45,45.0,pair_03,110.00000000000001,108.0,-2.000000000000014,2.000000000000014,217.97823077440262,ok
0.45,45.0,pair_04,110.00000000000001,-180.0,-290.0,290.0,216.3179693222046,ok
0.45,45.0,pair_05,110.00000000000001,110.0,-1.4210854715202004e-14,1.4210854715202004e-14,217.9148822426796,ok
0.45,45.0,pair_06,110.00000000000001,180.0,69.99999999999999,69.99999999999999,217.76615023612976,ok
0.45,45.0,pair_07,110.00000000000001,-56.0,-166.0,166.0,215.85123831033707,ok
0.45,45.0,pair_08,110.00000000000001,110.0,-1.4210854715202004e-14,1.4210854715202004e-14,219.13606011867523,ok
0.45,45.0,pair_09,110.00000000000001,109.0,-1.0000000000000142,1.0000000000000142,216.2553637623787,ok
0.45,45.0,pair_10,110.00000000000001,107.0,-3.000000000000014,3.000000000000014,216.7182184457779,ok
0.45,45.0,pair_11,110.00000000000001,107.0,-3.000000000000014,3.000000000000014,217.28440791368484,ok
0.45,45.0,pair_12,110.00000000000001,111.0,0.9999999999999858,0.9999999999999858,217.1141338944435,ok
0.45,45.0,pair_13,110.00000000000001,108.0,-2.000000000000014,2.000000000000014,218.24592858552933,ok
0.45,45.0,pair_14,110.00000000000001,109.0,-1.0000000000000142,1.0000000000000142,217.2805243730545,ok
0.46,46.0,pair_00,108.0,108.0,0.0,0.0,218.4933934211731,ok
0.48,48.0,pair_00,104.0,180.0,76.0,76.0,217.48427003622055,ok
0.5,50.0,pair_00,100.0,-180.0,-280.0,280.0,212.69356089830399,ok
0.5,50.0,pair_01,100.0,-180.0,-280.0,280.0,209.15432834625244,ok
0.5,50.0,pair_02,100.0,167.0,67.0,67.0,210.12633955478668,ok
0.5,50.0,pair_03,100.0,171.0,71.0,71.0,212.3459568619728,ok
0.5,50.0,pair_04,100.0,180.0,80.0,80.0,211.54942274093628,ok
0.5,50.0,pair_05,100.0,180.0,80.0,80.0,210.1780925989151,ok
0.5,50.0,pair_06,100.0,-180.0,-280.0,280.0,211.57162111997604,ok
0.5,50.0,pair_07,100.0,99.0,-1.0,1.0,218.01944208145142,ok
0.5,50.0,pair_08,100.0,-180.0,-280.0,280.0,211.76146465539932,ok
0.5,50.0,pair_09,100.0,180.0,80.0,80.0,210.7654168009758,ok
0.5,50.0,pair_10,100.0,-180.0,-280.0,280.0,211.44283044338226,ok
0.5,50.0,pair_11,100.0,180.0,80.0,80.0,211.9396333694458,ok
0.5,50.0,pair_12,100.0,180.0,80.0,80.0,211.87134355306625,ok
0.5,50.0,pair_13,100.0,180.0,80.0,80.0,210.70616400241852,ok
0.5,50.0,pair_14,100.0,180.0,80.0,80.0,212.86005073785782,ok
0.5,50.0,pair_15,100.0,-180.0,-280.0,280.0,218.05130845308304,ok
0.5,50.0,pair_16,100.0,161.0,61.0,61.0,213.07218205928802,ok
0.5,50.0,pair_17,100.0,-180.0,-280.0,280.0,211.10260528326035,ok
0.5,50.0,pair_18,100.0,-180.0,-280.0,280.0,212.1841452717781,ok
0.52,52.0,pair_00,96.0,180.0,84.0,84.0,217.60615372657776,ok
0.54,54.0,pair_00,92.0,90.0,-2.0,2.0,217.9538562297821,ok
0.55,55.00000000000001,pair_00,89.99999999999999,89.0,-0.9999999999999858,0.9999999999999858,217.00541645288467,ok
0.55,55.00000000000001,pair_01,89.99999999999999,87.0,-2.999999999999986,2.999999999999986,218.07169449329376,ok
0.55,55.00000000000001,pair_02,89.99999999999999,91.0,1.0000000000000142,1.0000000000000142,219.43453043699265,ok
0.55,55.00000000000001,pair_03,89.99999999999999,180.0,90.00000000000001,90.00000000000001,218.99587219953537,ok
