shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19
-180,216.59094071388245,219.8735752105713,216.59094071388245,219.8735752105713,216.47775948047638,216.2675226330757,216.45498591661453,217.7796630859375,218.16608196496964,217.7209256887436,216.00795483589172,215.48513889312744,218.093719124794,216.98206692934036,217.37670934200287,216.6990751028061,216.09500139951706,217.44286173582077,215.6249744296074,216.82314151525497
-179,216.53687191009521,219.85628986358643,216.53687191009521,219.85628986358643,216.389020383358,216.15198308229446,216.38755267858505,217.76379430294037,218.07755893468857,217.60299921035767,215.94056057929993,215.43281209468842,218.0871502161026,216.92142337560654,217.3719077706337,216.5783217549324,215.98510909080505,217.3868800997734,215.52742779254913,216.7500997185707
-178,216.47501820325851,219.85275942087173,216.47501820325851,219.85275942087173,216.31088763475418,216.04955595731735,216.31554228067398,217.75736874341965,217.974975168705,217.50297528505325,215.87633484601974,215.38766759634018,218.08870136737823,216.857240319252,217.37324887514114,216.46129751205444,215.87951642274857,217.32101440429688,215.44494277238846,216.674378991127
-177,216.4048856496811,219.86159509420395,216.4048856496811,219.86159509420395,216.24361050128937,215.9604110121727,216.23832821846008,217.7597633600235,217.86146050691605,217.42041039466858,215.81442201137543,215.34914237260818,218.09490299224854,216.78899079561234,217.37929129600525,216.35139352083206,215.78080022335052,217.24540638923645,215.37924993038177,216.5991867184639
-176,216.32455468177795,219.8803613781929,216.32455468177795,219.8803613781929,216.18725281953812,215.88201361894608,216.15453511476517,217.7686403989792,217.7398139834404,217.35595566034317,215.75383591651917,215.31456571817398,218.10127937793732,216.7155966758728,217.38826125860214,216.25053399801254,215.6923308968544,217.1617066860199,215.32903170585632,216.52782273292542
-175,216.2354873418808,219.9066902399063,216.2354873418808,219.9066902399063,216.14076495170593,215.81375032663345,216.0643274784088,217.78327202796936,217.6141574382782,217.30887353420258,215.69431447982788,215.28132271766663,218.10481065511703,216.63587474822998,217.39895325899124,216.15977108478546,215.61655110120773,217.0702446103096,215.29353553056717,216.46273285150528
-174,216.13788133859634,219.93865132331848,216.13788133859634,219.93865132331848,216.10265016555786,215.7542924284935,215.96916407346725,217.80222231149673,217.4873824119568,217.2766073346138,215.63897067308426,215.24851781129837,218.103457570076,216.55039674043655,217.41040927171707,216.07979130744934,215.55586677789688,216.97401654720306,215.27255111932755,216.40499830245972
-173,216.03276747465134,219.97288101911545,216.03276747465134,219.97288101911545,216.07054138183594,215.70240676403046,215.8710978627205,217.82250541448593,217.364176094532,217.25709456205368,215.5888808965683,215.21454095840454,218.09685879945755,216.46019357442856,217.42099350690842,216.0102652311325,215.51009941101074,216.878271818161,215.26559883356094,216.3567967414856
-172,215.921177983284,220.0068632364273,215.921177983284,220.0068632364273,216.0437399148941,215.65526294708252,215.77297604084015,217.84027922153473,217.24988114833832,217.24749666452408,215.5453417301178,215.17883324623108,218.08554404973984,216.37018591165543,217.42905604839325,215.95231771469116,215.47938853502274,216.78746569156647,215.2708370089531,216.31924259662628
-171,215.80575048923492,220.03902035951614,215.80575048923492,220.03902035951614,216.02099001407623,215.61027592420578,215.67631149291992,217.85203659534454,217.1473714709282,217.2444441318512,215.50628340244293,215.14176613092422,218.07025736570358,216.28155118227005,217.4319760799408,215.9049775004387,215.46207058429718,216.70686548948288,215.28709596395493,216.2932643890381
