shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18,pair_19
-180,217.09025609493256,218.16395908594131,217.09025609493256,218.16395908594131,218.46610283851624,215.2753148674965,213.94230723381042,216.9211797118187,217.44375890493393,215.11753123998642,217.52045339345932,216.9866955280304,217.65290939807892,217.98878014087677,217.30775249004364,214.92817002534866,217.98682808876038,216.27775061130524,218.21198052167892,218.32994490861893
-179,217.02893549203873,218.13006556034088,217.02893549203873,218.13006556034088,218.37765157222748,215.21659058332443,213.9089064002037,216.88549786806107,217.36768102645874,215.03973811864853,217.45342880487442,216.93835318088531,217.5867310166359,217.9071529507637,217.26365154981613,214.96965110301971,217.93944627046585,216.1920838356018,218.19453358650208,218.30252015590668
-178,216.9740396142006,218.0956855416298,216.9740396142006,218.0956855416298,218.28687626123428,215.1673802137375,213.87638771533966,216.85772943496704,217.30176436901093,214.95764565467834,217.37206333875656,216.8947194814682,217.51415169239044,217.82623672485352,217.22565722465515,215.01501828432083,217.8812901377678,216.10641157627106,218.18287444114685,218.27013874053955
-177,216.92323011159897,218.0605902671814,216.92323011159897,218.0605902671814,218.19838654994965,215.1278749704361,213.84421688318253,216.83239579200745,217.24247014522552,214.8723260164261,217.28154945373535,216.85793071985245,217.43332624435425,217.74600130319595,217.19175976514816,215.06112664937973,217.81213927268982,216.01599287986755,218.17729592323303,218.23135393857956
-176,216.87450695037842,218.02530753612518,216.87450695037842,218.02530753612518,218.11452502012253,215.09893590211868,213.81058967113495,216.80476820468903,217.18737828731537,214.78561770915985,217.18565160036087,216.82841408252716,217.3448562026024,217.6650121808052,217.16002827882767,215.10432916879654,217.73595279455185,215.9145941734314,218.17808949947357,218.18754518032074
-175,216.82765185832977,217.9895052909851,216.82765185832977,217.9895052909851,218.03923279047012,215.0820912718773,213.7741938829422,216.7723805308342,217.13655197620392,214.70060175657272,217.08820605278015,216.8063378930092,217.2508286833763,217.58182054758072,217.1282623410225,215.14083909988403,217.65729534626007,215.8032124042511,218.18534421920776,218.13946402072906
-174,216.7806167602539,217.95380026102066,216.7806167602539,217.95380026102066,217.97538340091705,215.076426923275,213.73407071828842,216.73408544063568,217.0916822552681,214.62228566408157,216.99223017692566,216.79120367765427,217.15475183725357,217.49594581127167,217.0946348309517,215.16853713989258,217.58033561706543,215.68560242652893,218.19827151298523,218.08879572153091
-173,216.7310585975647,217.91814881563187,216.7310585975647,217.91814881563187,217.92216289043427,215.0828641653061,213.69152694940567,216.69018280506134,217.0535957813263,214.55365830659866,216.8990781903267,216.7831995487213,217.05998927354813,217.4078946709633,217.0570804476738,215.1838693022728,217.50785505771637,215.56753408908844,218.21659815311432,218.03804421424866
-172,216.67932230234146,217.88274323940277,216.67932230234146,217.88274323940277,217.8782707452774,215.10079658031464,213.64863973855972,216.64018040895462,217.02332758903503,214.49891817569733,216.8107717037201,216.7847616672516,216.9688475728035,217.31919115781784,217.01586401462555,215.18365454673767,217.44103014469147,215.45190554857254,218.23798102140427,217.99062806367874
-171,216.6236572265625,217.84807968139648,216.6236572265625,217.84807968139648,217.84356498718262,215.1282884478569,213.60851907730103,216.58210748434067,216.99983257055283,214.45876133441925,216.72993087768555,216.79676455259323,216.88215970993042,217.23265898227692,216.97170943021774,215.165020942688,217.38091373443604,215.33939480781555,218.2595775127411,217.95005309581757
-170,216.5642205476761,217.81405466794968,216.5642205476761,217.81405466794968,217.8164097070694,215.16350257396698,213.5740538239479,216.51415038108826,216.98236787319183,214.43176060914993,216.65843671560287,216.81897693872452,216.80090177059174,217.1511800289154,216.92430937290192,215.12894195318222,217.32905822992325,215.23086696863174,218.27826976776123,217.91875356435776
-169,216.5041937828064,217.77985334396362,216.5041937828064,217.77985334396362,217.79462921619415,215.20296835899353,213.54666060209274,216.43391966819763,216.96912199258804,214.41522550582886,216.59661358594894,216.8477566242218,216.72606301307678,217.07791137695312,216.87441730499268,215.0776264667511,217.28574794530869,215.1271047592163,218.2908296585083,217.8968569636345
