shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16,pair_17,pair_18
-180,215.68006974458694,216.17620587348938,216.7602190375328,217.61378663778305,218.06953185796738,217.61378663778305,216.14428502321243,216.93467843532562,217.8189496397972,218.17983561754227,217.53941416740417,218.33311372995377,217.31981378793716,216.2795284986496,217.05513966083527,217.28519922494888,216.1908005475998,217.67441350221634,217.2903392314911
-179,215.71727871894836,216.1228758096695,216.6685357093811,217.49804425239563,218.01100653409958,217.49804425239563,216.13701421022415,216.89123630523682,217.81190276145935,218.13266998529434,217.55796837806702,218.26851654052734,217.24545192718506,216.2581451535225,216.9670688509941,217.1941623687744,216.10126554965973,217.6852279305458,217.1696770787239
-178,215.7431325316429,216.06465113162994,216.57855826616287,217.39399755001068,217.9517952799797,217.39399755001068,216.122689306736,216.85144728422165,217.81160062551498,218.0942113995552,217.5518138408661,218.21437811851501,217.1750670671463,216.2500435113907,216.90292543172836,217.10472178459167,216.0133512020111,217.70242804288864,217.06662327051163
-177,215.75829482078552,216.0033054947853,216.49170869588852,217.30174338817596,217.89269244670868,217.30174338817596,216.10176599025726,216.8154911994934,217.8173752427101,218.06465369462967,217.52049690485,218.17321175336838,217.11026686429977,216.25371748209,216.86483502388,217.02141690254211,215.92656141519547,217.7225147485733,216.98065918684006
-176,215.7634648680687,215.94206488132477,216.40836602449417,217.21890729665756,217.83419388532639,217.21890729665756,216.07459872961044,216.78506141901016,217.82778561115265,218.04126650094986,217.467713534832,218.1453298330307,217.05191028118134,216.2664532661438,216.8522082567215,216.94784969091415,215.8402237892151,217.7436266541481,216.9090055823326
-175,215.76155149936676,215.88346952199936,216.32806015014648,217.14503955841064,217.7749353647232,217.14503955841064,216.04555386304855,216.76125013828278,217.84257417917252,218.02218401432037,217.3975790143013,218.12957459688187,217.0003426671028,216.28639382123947,216.8627049922943,216.88436287641525,215.75523936748505,217.764912545681,216.8491907119751
-174,215.75723218917847,215.82946211099625,216.25209271907806,217.07833629846573,217.71379506587982,217.07833629846573,216.0166712999344,216.7444362640381,217.86205804347992,218.00579237937927,217.3145135641098,218.12440168857574,216.95439797639847,216.31107848882675,216.89161455631256,216.83020162582397,215.67295515537262,217.78388267755508,216.79916763305664
-173,215.75339579582214,215.78085380792618,216.18209266662598,217.01677840948105,217.65119922161102,217.01677840948105,215.98912239074707,216.73403865098953,217.88610273599625,217.98812466859818,217.2240424156189,218.1265349984169,216.9133079648018,216.33928298950195,216.93424010276794,216.78401464223862,215.59502017498016,217.7969474196434,216.75670957565308
-172,215.75197505950928,215.73869466781616,216.11841928958893,216.96067529916763,217.58850973844528,216.96067529916763,215.96355199813843,216.72822934389114,217.91383039951324,217.9666475057602,217.1313243508339,218.13314867019653,216.87568020820618,216.37148374319077,216.9849978685379,216.74361389875412,215.52459394931793,217.80130624771118,216.71970438957214
-171,215.75363785028458,215.70300710201263,216.0622220635414,216.90816777944565,217.5279221534729,216.90816777944565,215.9382368326187,216.72489440441132,217.94559508562088,217.93861138820648,217.03948932886124,218.14266163110733,216.84134030342102,216.40657609701157,217.03889399766922,216.70674514770508,215.46387654542923,217.7955066561699,216.68671560287476
-170,215.75872319936752,215.6729844212532,216.0126901268959,216.85651862621307,217.4711188673973,216.85651862621307,215.9128462076187,216.7197059392929,217.98081177473068,217.90347027778625,216.95135182142258,218.15420681238174,216.81026136875153,216.4423187971115,217.09157598018646,216.6724745631218,215.4166550040245,217.7789450287819,216.65720182657242
-169,215.7658131122589,215.6469533443451,215.96858894824982,216.80430221557617,217.41850900650024,216.80430221557617,215.88732343912125,216.70876836776733,218.0181321501732,217.86094611883163,216.86798739433289,218.1657254099846,216.78356850147247,216.4759891629219,217.13971465826035,216.64175885915756,215.38430351018906,217.75324082374573,216.62955921888351
-168,215.77375662326813,215.62314003705978,215.929485142231,216.7519455552101,217.3712239265442,216.7519455552101,215.86290603876114,216.690868973732,218.0559859275818,217.81268352270126,216.7888886332512,218.17647105455399,216.76225405931473,216.50459045171738,217.18080991506577,216.6166551709175,215.36626636981964,217.71957886219025,216.60277903079987
-167,215.78158628940582,215.5994890332222,215.89539712667465,216.7008952498436,217.33071345090866,216.7008952498436,215.84030467271805,216.66741478443146,218.09280908107758,217.76114922761917,216.71395206451416,218.18547904491425,216.74685376882553,216.52538287639618,217.2129749059677,216.5976044535637,215.35967695713043,217.6798031926155,216.57726335525513
-166,215.7877984046936,215.5761433839798,215.86832523345947,216.6527183651924,217.29944133758545,216.6527183651924,215.82038074731827,216.63998752832413,218.12590318918228,217.70823538303375,216.6433281302452,218.19213503599167,216.7375112771988,216.53689312934875,217.23469245433807,216.5843995809555,215.36190778017044,217.63553494215012,216.55440509319305
-165,215.79125261306763,215.55315905809402,215.84923368692398,216.61133259534836,217.2775121331215,216.61133259534836,215.80391490459442,216.61097997426987,218.15216463804245,217.65689080953598,216.57812517881393,218.1952600479126,216.7334668636322,216.5375457406044,217.24469578266144,216.57472068071365,215.3694104552269,217.58771413564682,216.53418111801147
-164,215.79027950763702,215.53170704841614,215.83844727277756,216.57905292510986,217.2644008398056,216.57905292510986,215.7919316291809,216.5842651128769,218.16921132802963,217.60950738191605,216.52132976055145,218.1941237449646,216.73379415273666,216.52709740400314,217.2435188293457,216.56720542907715,215.37899112701416,217.5374287366867,216.5165050625801
-163,215.7832067012787,215.51282268762589,215.83612436056137,216.55733478069305,217.25834721326828,216.55733478069305,215.7847974896431,216.56232047080994,218.17610156536102,217.56837064027786,216.475015103817,218.18827205896378,216.73883247375488,216.50633984804153,217.23210936784744,216.56073969602585,215.38840347528458,217.4859894514084,216.50236302614212
-162,215.76909148693085,215.49707227945328,215.8413393497467,216.54655021429062,217.25776571035385,216.54655021429062,215.78230369091034,216.5459025502205,218.17232555150986,217.53382742404938,216.43860483169556,218.17679578065872,216.74935966730118,216.4781595468521,217.21128034591675,216.55406254529953,215.39560848474503,217.43446654081345,216.49152135849
-161,215.74612659215927,215.48425197601318,215.85351133346558,216.54550844430923,217.261987388134,216.54550844430923,215.78303563594818,216.5355120897293,218.15828400850296,217.5059762597084,216.4110627770424,218.15920495986938,216.76404750347137,216.44563573598862,217.18267744779587,216.54504376649857,215.40009009838104,217.38337349891663,216.48334401845932
-160,215.71425265073776,215.47464001178741,215.87015116214752,216.55203598737717,217.269913315773,216.55203598737717,215.78417372703552,216.53125673532486,218.13521987199783,217.48400861024857,216.39153051376343,218.1348380446434,216.7803731560707,216.41053104400635,217.14772444963455,216.5322140455246,215.40159803628922,217.33192950487137,216.47640365362167
-159,215.67299395799637,215.4689194560051,215.8891967535019,216.5654217004776,217.2800605893135,216.5654217004776,215.78160679340363,216.532659471035,218.10473310947418,217.46694022417068,216.38010329008102,218.10413891077042,216.79575270414352,216.37513649463654,217.10848551988602,216.51431888341904,215.40121054649353,217.27924418449402,216.46993029117584
-158,215.622945189476,215.46717715263367,215.91013306379318,216.58466428518295,217.2913973927498,216.58466428518295,215.77201837301254,216.53874146938324,218.0687211751938,217.4540712237358,216.3771417737007,218.0681153535843,216.80823570489883,216.34181088209152,217.0669058561325,216.49137026071548,215.3991584777832,217.224671959877,216.46295726299286
-157,215.56774973869324,215.46951460838318,215.9320747256279,216.609985768795,217.3020876646042,216.609985768795,215.7530152797699,216.54869103431702,218.02839636802673,217.4450860619545,216.38247698545456,218.02635645866394,216.81680411100388,216.3120800256729,217.0252005457878,216.46366626024246,215.3956173658371,217.16740602254868,216.4553067088127
-156,215.51068484783173,215.47522509098053,215.9549658894539,216.6401864886284,217.31108474731445,216.6401864886284,215.72307389974594,216.5612637400627,217.9855182170868,217.43927162885666,216.39541494846344,217.9791688323021,216.82107490301132,216.28670966625214,216.9856954216957,216.43191969394684,215.39168512821198,217.10730695724487,216.44779843091965
-155,215.4547346830368,215.48315858840942,215.97952061891556,216.6724687218666,217.31730890274048,216.6724687218666,215.68198835849762,216.57550024986267,217.94226616621017,217.43580734729767,216.4159734249115,217.92732775211334,216.82047313451767,216.26599645614624,216.94946563243866,216.39769291877747,215.38863271474838,217.04418700933456,216.44128847122192
-154,215.40334349870682,215.49204164743423,216.0056555867195,216.70398849248886,217.32004582881927,216.70398849248886,215.63166099786758,216.59010577201843,217.89999949932098,217.43444055318832,216.44419932365417,217.8722465634346,216.8136813044548,216.24916392564774,216.91640049219131,216.36216348409653,215.387466609478,216.97851479053497,216.43643122911453
-153,215.35997980833054,215.50041949748993,216.03341794013977,216.7325342297554,217.31889986991882,216.7325342297554,215.5744360089302,216.60497230291367,217.85959178209305,217.43453472852707,216.48121267557144,217.81677240133286,216.79953902959824,216.23475688695908,216.8863347172737,216.3271101117134,215.38894605636597,216.91141241788864,216.4324722290039
-152,215.32727700471878,215.50793474912643,216.06135892868042,216.75744378566742,217.31447505950928,216.75744378566742,215.51304215192795,216.61971932649612,217.822163939476,217.4348269701004,216.5273003578186,217.76419204473495,216.77797096967697,216.22085815668106,216.85960853099823,216.29451078176498,215.39291727542877,216.84442681074142,216.42910462617874
-151,215.30758208036423,215.5138846039772,216.0875300168991,216.77854895591736,217.30750167369843,216.77854895591736,215.45036262273788,216.63443648815155,217.78868520259857,217.4345816373825,216.58069014549255,217.71795880794525,216.74982953071594,216.20597231388092,216.83654481172562,216.2656415104866,215.4005282521248,216.7787162065506,216.42621856927872
-150,215.30231553316116,215.51867312192917,216.110549390316,216.79558169841766,217.29820609092712,216.79558169841766,215.38898986577988,216.64968794584274,217.76073676347733,217.43410408496857,216.63927870988846,217.68116635084152,216.71670335531235,216.18918645381927,216.81713205575943,216.24174845218658,215.41363036632538,216.7155725955963,216.424222946167
-149,215.3104755282402,215.52309757471085,216.12973707914352,216.81026011705399,217.2868903875351,216.81026011705399,215.3315868973732,216.6660379767418,217.73943090438843,217.4337539076805,216.7005124092102,217.6561079621315,216.67960143089294,216.17044430971146,216.80169415473938,216.22438138723373,215.43297219276428,216.65719199180603,216.42307567596436
-148,215.3310248851776,215.5286779999733,216.1455071568489,216.82404100894928,217.27499693632126,216.82404100894928,215.28071922063828,216.6830078959465,217.72495275735855,217.43452388048172,216.76207321882248,217.6428284049034,216.63897329568863,216.15035098791122,216.79013818502426,216.21417355537415,215.45768547058105,216.60585623979568,216.42285645008087
-147,215.36192750930786,215.53617042303085,216.1587655544281,216.83748710155487,217.26333940029144,216.83748710155487,215.2382173538208,216.69951158761978,217.7168116569519,217.4384969472885,216.82210618257523,217.64006865024567,216.59572851657867,216.12957006692886,216.78256171941757,216.21127206087112,215.4860995411873,216.56248944997787,216.4236297607422
