shift,pair_00
-180,218.32284832000732
-179,218.28895175457
-178,218.25497657060623
-177,218.21987920999527
-176,218.18360763788223
-175,218.1455619931221
-174,218.10769909620285
-173,218.0730072259903
-172,218.04353427886963
-171,218.0200697183609
-170,218.00268363952637
-169,217.99084383249283
-168,217.98285806179047
-167,217.97805619239807
-166,217.9764228463173
-165,217.97861403226852
-164,217.98416662216187
-163,217.99207311868668
-162,218.00037497282028
-161,218.00856137275696
-160,218.01588428020477
-159,218.02155148983002
-158,218.02588659524918
-157,218.02863812446594
-156,218.02931421995163
-155,218.02752369642258
-154,218.02368891239166
-153,218.0176957845688
-152,218.0096127986908
-151,217.9995403289795
-150,217.98802775144577
-149,217.97614467144012
-148,217.96538108587265
-147,217.95604699850082
-146,217.94835019111633
-145,217.94358271360397
-144,217.94269794225693
-143,217.94645899534225
-142,217.95542812347412
-141,217.96990877389908
-140,217.99081426858902
-139,218.01858681440353
-138,218.05304962396622
-137,218.09396767616272
-136,218.14049780368805
-135,218.1908431649208
-134,218.24313843250275
-133,218.29559183120728
-132,218.34670335054398
-131,218.39505314826965
-130,218.4383100271225
-129,218.47496902942657
-128,218.5044545531273
-127,218.52664160728455
-126,218.54192066192627
-125,218.55107086896896
-124,218.5551033616066
-123,218.55476504564285
-122,218.5503809452057
-121,218.54203820228577
-120,218.52957475185394
-119,218.51290994882584
-118,218.49225634336472
-117,218.46805101633072
-116,218.4409282207489
-115,218.4118850827217
-114,218.38215446472168
-113,218.3531259894371
-112,218.32615530490875
-111,218.30215710401535
-110,218.2821369767189
-109,218.2667599916458
-108,218.2562654018402
-107,218.25054174661636
-106,218.24959069490433
-105,218.25266927480698
-104,218.25883436203003
-103,218.26747637987137
-102,218.27726966142654
-101,218.2870352268219
-100,218.2958790063858
-99,218.30345010757446
-98,218.30952340364456
-97,218.3140633702278
-96,218.31725871562958
-95,218.3202502131462
-94,218.32396852970123
-93,218.32882994413376
-92,218.3345279097557
-91,218.3403189778328
-90,218.34603214263916
-89,218.35191518068314
-88,218.358060836792
-87,218.36436355113983
-86,218.37031263113022
-85,218.3753783106804
-84,218.37908655405045
-83,218.3809266090393
-82,218.38021528720856
-81,218.37619364261627
-80,218.36851513385773
-79,218.3573197722435
-78,218.34318059682846
-77,218.32697528600693
-76,218.30992341041565
-75,218.2929556965828
-74,218.27695214748383
-73,218.26268810033798
-72,218.25019854307175
-71,218.23908787965775
-70,218.22908145189285
-69,218.22027444839478
-68,218.2134187221527
-67,218.20960372686386
-66,218.20958775281906
-65,218.21384286880493
-64,218.22262996435165
-63,218.23610574007034
-62,218.25386822223663
-61,218.27528357505798
-60,218.2996437549591
-59,218.32629543542862
-58,218.3541897535324
-57,218.3823805451393
-56,218.4099422097206
-55,218.4358913898468
-54,218.4595605134964
-53,218.4805013537407
-52,218.49824851751328
-51,218.51251381635666
-50,218.52347910404205
-49,218.5316123366356
-48,218.53715962171555
-47,218.54000043869019
-46,218.53988260030746
-45,218.53677141666412
-44,218.5306480526924
-43,218.52161133289337
-42,218.50990962982178
-41,218.49598062038422
-40,218.48035019636154
-39,218.4637147784233
-38,218.44661337137222
-37,218.42929524183273
-36,218.41189008951187
-35,218.39459055662155
-34,218.37755489349365
-33,218.36092483997345
-32,218.34484541416168
-31,218.32959055900574
-30,218.31539070606232
-29,218.30236113071442
-28,218.2909175157547
-27,218.28151953220367
-26,218.274604678154
-25,218.27065640687943
-24,218.26984024047852
-23,218.27212715148926
-22,218.27749055624008
-21,218.2856695652008
-20,218.29633575677872
-19,218.30878853797913
-18,218.32205361127853
-17,218.335163295269
-16,218.3470762372017
-15,218.35674214363098
-14,218.36316514015198
-13,218.3656341433525
-12,218.3634877204895
-11,218.35630881786346
-10,218.34388822317123
-9,218.32621735334396
-8,218.30351877212524
-7,218.2761316895485
-6,218.24476999044418
-5,218.210553586483
-4,218.17469316720963
-3,218.13885974884033
-2,218.10493808984756
-1,218.07450014352798
0,218.04882031679153
1,218.04734152555466
2,218.05178773403168
3,218.06223237514496
4,218.07832938432693
5,218.0996497273445
6,218.12561631202698
7,218.15539473295212
8,218.18786358833313
9,218.2217719554901
10,218.25615513324738
11,218.29007118940353
12,218.3228713274002
13,218.35399967432022
14,218.38294732570648
15,218.40949964523315
16,218.4336702823639
17,218.4555076956749
18,218.47521781921387
19,218.49303191900253
20,218.5091626048088
21,218.52360785007477
22,218.53632628917694
23,218.54705101251602
24,218.555373609066
25,218.56109297275543
26,218.56395316123962
27,218.56366497278214
28,218.56017619371414
29,218.5535967350006
30,218.54414331912994
31,218.53236377239227
32,218.51871287822723
33,218.50354474782944
34,218.48733055591583
35,218.47058856487274
36,218.45372301340103
37,218.4372866153717
38,218.42182689905167
39,218.40747565031052
40,218.39408093690872
41,218.38124710321426
42,218.3685051202774
43,218.35526257753372
44,218.34091538190842
45,218.325041949749
46,218.30733048915863
47,218.2876808643341
48,218.26603162288666
49,218.2424584031105
50,218.21722221374512
51,218.19055944681168
52,218.16310012340546
53,218.13595694303513
54,218.11031466722488
55,218.08729445934296
56,218.06788212060928
57,218.0528199672699
58,218.04281920194626
59,218.03854036331177
60,218.04006797075272
61,218.04731690883636
62,218.05986440181732
63,218.07690554857254
64,218.09752184152603
65,218.12066292762756
66,218.1448969244957
67,218.16886961460114
68,218.19135111570358
69,218.21111130714417
70,218.22724735736847
71,218.23903435468674
72,218.24595373868942
73,218.24738031625748
74,218.243039727211
75,218.23288798332214
76,218.21704977750778
77,218.1957607269287
78,218.16970044374466
79,218.13978004455566
80,218.10744100809097
81,218.0746482014656
