shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12
-180,219.23454117774963,216.36282980442047,216.0021854043007,217.07871067523956,218.5514754652977,214.31299352645874,216.43365198373795,215.67702412605286,214.60536056756973,215.4789777994156,216.71196109056473,217.52793216705322,217.15386962890625
-179,219.2034534215927,216.2422866821289,215.9818498492241,217.0477915406227,218.56982839107513,214.33801466226578,216.3890005350113,215.66873878240585,214.53721272945404,215.4703644514084,216.5826182961464,217.42063289880753,217.09112924337387
-178,219.18054240942,216.128677546978,215.96329313516617,217.01717740297318,218.5835204720497,214.37464213371277,216.35081666707993,215.66941571235657,214.4788018465042,215.45526379346848,216.4636132121086,217.32635873556137,217.03859966993332
-177,219.16667741537094,216.02328091859818,215.94354742765427,216.9821179509163,218.5889977812767,214.41997057199478,216.32246834039688,215.67537379264832,214.4322172999382,215.43206065893173,216.35878360271454,217.24616396427155,216.99588173627853
-176,219.16229355335236,215.92703485488892,215.92058646678925,216.93847751617432,218.58366709947586,214.46889132261276,216.30337798595428,215.68264466524124,214.39481562376022,215.40034997463226,216.27178639173508,217.1835839152336,216.9617486000061
-175,219.16616535186768,215.8395857810974,215.8925952911377,216.88314706087112,218.56513279676437,214.51862370967865,216.289013504982,215.6897532939911,214.36662709712982,215.36177456378937,216.20356357097626,217.13843989372253,216.93524664640427
-174,219.1770374774933,215.75960344076157,215.85954999923706,216.81413584947586,218.53334039449692,214.56545895338058,216.27696031332016,215.69290947914124,214.34465390443802,215.31812769174576,216.15399968624115,217.10760855674744,216.9153373837471
-173,219.1919383406639,215.68630748987198,215.82165575027466,216.73190712928772,218.48837912082672,214.6058538556099,216.2629296183586,215.68916618824005,214.32626354694366,215.26815348863602,216.12215328216553,217.08571302890778,216.90022730827332
-172,219.2087476849556,215.61918556690216,215.78200161457062,216.6397780776024,218.43279510736465,214.6357717514038,216.24546962976456,215.67719292640686,214.31207656860352,215.21364653110504,216.10555559396744,217.06677109003067,216.889967918396
-171,219.22592222690582,215.55921798944473,215.7421840429306,216.54151701927185,218.36898440122604,214.65027272701263,216.22439122200012,215.6567007303238,214.30110263824463,215.1562008857727,216.10114067792892,217.04669094085693,216.88413900136948
