shift,pair_00
-180,216.94753617048264
-179,216.90789860486984
-178,216.87855809926987
-177,216.85803133249283
-176,216.84567832946777
-175,216.83991181850433
-174,216.83996051549911
-173,216.84460431337357
-172,216.85340428352356
-171,216.86549937725067
-170,216.87974429130554
-169,216.89364433288574
-168,216.90664607286453
-167,216.91812574863434
-166,216.92658960819244
-165,216.93110769987106
-164,216.93113893270493
-163,216.9262148141861
-162,216.91754585504532
-161,216.9061445593834
-160,216.89198607206345
-159,216.87573212385178
-158,216.85784232616425
-157,216.83848822116852
-156,216.8182648420334
-155,216.79609674215317
-154,216.76899701356888
-153,216.73541498184204
-152,216.69604259729385
-151,216.6530198454857
-150,216.60951578617096
-149,216.56828778982162
-148,216.53316116333008
-147,216.5060247182846
-146,216.48850667476654
-145,216.4818281531334
-144,216.486494243145
-143,216.50162148475647
-142,216.52602511644363
-141,216.55848455429077
-140,216.5975906252861
-139,216.6415947675705
-138,216.68834352493286
-137,216.735238134861
-136,216.7796436548233
-135,216.81949198246002
-134,216.8536712527275
-133,216.88154858350754
-132,216.90316981077194
-131,216.9193817973137
-130,216.9312789440155
-129,216.94013512134552
-128,216.94741529226303
-127,216.95391482114792
-126,216.95961445569992
-125,216.9640350341797
-124,216.9667055606842
-123,216.96730709075928
-122,216.96608579158783
-121,216.96394687891006
-120,216.9614623785019
-119,216.95862537622452
-118,216.95503956079483
-117,216.9503766298294
-116,216.94525212049484
-115,216.9405437707901
-114,216.93716502189636
-113,216.93601429462433
-112,216.93773901462555
-111,216.94292759895325
-110,216.95168143510818
-109,216.96340441703796
-108,216.97673964500427
-107,216.99054354429245
-106,217.00409471988678
-105,217.01647460460663
-104,217.02603912353516
-103,217.03138917684555
-102,217.03191316127777
-101,217.02749222517014
-100,217.01845681667328
-99,217.00526678562164
-98,216.98886263370514
-97,216.97036319971085
-96,216.95140665769577
-95,216.93353486061096
-94,216.91795945167542
-93,216.90494030714035
-92,216.89415150880814
-91,216.8853184580803
-90,216.87826657295227
-89,216.8729586005211
-88,216.86988472938538
-87,216.8691949248314
-86,216.87074440717697
-85,216.8739868402481
-84,216.8781254887581
-83,216.88249170780182
-82,216.886578977108
-81,216.8900062441826
-80,216.89306956529617
-79,216.8963207602501
-78,216.90025383234024
-77,216.90561038255692
-76,216.91352224349976
-75,216.92480474710464
-74,216.93961489200592
-73,216.95741444826126
-72,216.97744244337082
-71,216.99867260456085
-70,217.01997065544128
-69,217.04040205478668
-68,217.05933547019958
-67,217.0763111114502
-66,217.09106576442719
-65,217.10340249538422
-64,217.11293506622314
-63,217.11930918693542
-62,217.12210893630981
-61,217.12098091840744
-60,217.11560785770416
-59,217.1058184504509
-58,217.09225660562515
-57,217.07593089342117
-56,217.05792498588562
-55,217.03946608304977
-54,217.02164751291275
-53,217.00516772270203
-52,216.9903599023819
-51,216.9772499203682
-50,216.9656034708023
-49,216.95502090454102
-48,216.94540333747864
-47,216.93705755472183
-46,216.93046230077744
-45,216.9260196685791
-44,216.92418557405472
-43,216.92510974407196
-42,216.92860001325607
-41,216.93412911891937
-40,216.9410154223442
-39,216.94873946905136
-38,216.95684748888016
-37,216.96504616737366
-36,216.97291088104248
-35,216.98033159971237
-34,216.98708754777908
-33,216.99295955896378
-32,216.99781566858292
-31,217.00192654132843
-30,217.00563871860504
-29,217.0094175338745
-28,217.01369035243988
-27,217.01860529184341
-26,217.02403038740158
-25,217.02986973524094
-24,217.0361403822899
-23,217.04279893636703
-22,217.04983484745026
-21,217.05701673030853
-20,217.0641991496086
-19,217.0718367099762
-18,217.08046996593475
-17,217.09090220928192
-16,217.10414212942123
-15,217.12128341197968
-14,217.1436586380005
-13,217.17270922660828
-12,217.21025097370148
-11,217.25805842876434
-10,217.318124294281
-9,217.3925108909607
-8,217.48357409238815
-7,217.59402227401733
-6,217.72697466611862
-5,217.8862264752388
-4,218.0757926106453
-3,218.29995572566986
-2,218.56282556056976
-1,218.8679300546646
0,219.21768015623093
1,219.6239389181137
2,220.0719245672226
3,220.55690920352936
4,221.07058918476105
5,221.600816488266
6,222.13109958171844
7,222.64078450202942
8,223.10569936037064
9,223.49950444698334
10,223.79585874080658
11,223.97175174951553
12,224.01139843463898
13,223.91044569015503
14,223.6776803135872
15,223.33223402500153
16,222.89913207292557
17,222.40548825263977
18,221.87772911787033
19,221.33944058418274
20,220.81030881404877
21,220.3053601384163
22,219.83549684286118
23,219.40753012895584
24,219.02478033304214
25,218.68773072957993
26,218.39471805095673
27,218.14278131723404
28,217.92801016569138
29,217.74622172117233
30,217.5930906534195
31,217.46459978818893
32,217.35719275474548
33,217.26761156320572
34,217.19313102960587
35,217.13153445720673
36,217.08113712072372
37,217.04048430919647
38,217.00817292928696
39,216.9828668832779
40,216.96325439214706
41,216.9480218887329
42,216.93619096279144
43,216.92693483829498
44,216.91942012310028
45,216.9131092429161
46,216.90794330835342
47,216.903968334198
48,216.90130931138992
49,216.90009254217148
50,216.90032213926315
51,216.90204352140427
52,216.9050554037094
53,216.90922755002975
54,216.91428363323212
