shift,pair_00,pair_01,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10
-180,216.4273236989975,219.53396618366241,217.4834222793579,216.64060866832733,215.00704431533813,216.6795675754547,218.59394347667694,215.18258106708527,214.7667298913002,215.4467687010765,217.1196532845497
-179,216.29494339227676,219.47278851270676,217.44169402122498,216.5712941288948,214.92736971378326,216.66078567504883,218.56520122289658,215.0855313539505,214.68357855081558,215.34209328889847,217.08306354284286
-178,216.15648275613785,219.40700614452362,217.39273285865784,216.50028830766678,214.84187370538712,216.64567160606384,218.52895319461823,214.97752022743225,214.60371243953705,215.24381560087204,217.0512214899063
-177,216.01201975345612,219.33839166164398,217.33574295043945,216.4290852546692,214.74935829639435,216.63247764110565,218.48519378900528,214.85898941755295,214.53153437376022,215.15406972169876,217.02451419830322
-176,215.86185067892075,219.26974713802338,217.27308291196823,216.35683983564377,214.6510265469551,216.62008899450302,218.43688082695007,214.73164772987366,214.46580773591995,215.0722604393959,217.0012602210045
-175,215.70750135183334,219.20267778635025,217.20644068717957,216.2834194302559,214.54887199401855,216.60587465763092,218.38454461097717,214.59810656309128,214.40596562623978,214.99855744838715,216.98043262958527
-174,215.55163711309433,219.139544069767,217.13682001829147,216.21002388000488,214.44619858264923,216.58900427818298,218.327965259552,214.46385437250137,214.35033386945724,214.9333603978157,216.95980459451675
-173,215.39775824546814,219.08296483755112,217.06566125154495,216.1370511651039,214.34591698646545,216.56967294216156,218.2676224708557,214.33461743593216,214.29809337854385,214.87683629989624,216.93792128562927
-172,215.24928534030914,219.0342497229576,216.99472683668137,216.06528908014297,214.24949878454208,216.54717522859573,218.20323383808136,214.2119796872139,214.2509310245514,214.8310021162033,216.91348540782928
-171,215.1069450378418,218.99463260173798,216.92681419849396,215.9956076145172,214.15835285186768,216.52113050222397,218.13535422086716,214.09742039442062,214.20987302064896,214.7973929643631,216.88363629579544
-170,214.97063064575195,218.96568548679352,216.8636416196823,215.92685723304749,214.07520133256912,216.49275118112564,218.06571179628372,213.99132698774338,214.17692548036575,214.77703595161438,216.84615641832352
-169,214.84113192558289,218.94838613271713,216.80657494068146,215.85708165168762,214.00098884105682,216.46244752407074,217.99551290273666,213.89360040426254,214.15373331308365,214.7689288854599,216.79899561405182
-168,214.71935886144638,218.94286185503006,216.75594979524612,215.78526085615158,213.93537557125092,216.42963349819183,217.92700070142746,213.8046532869339,214.14051789045334,214.7730216383934,216.74210280179977
-167,214.6060122847557,218.9488480091095,216.71208703517914,215.70988285541534,213.8784368634224,216.39441722631454,217.86281102895737,213.72637897729874,214.13542836904526,214.7898325920105,216.6759649515152
-166,214.5030296444893,218.9655036330223,216.67516189813614,215.63281440734863,213.82874166965485,216.35691839456558,217.80414098501205,213.66034650802612,214.1355390548706,214.81885915994644,216.6028951406479
-165,214.4113051891327,218.9920653104782,216.6465215086937,215.5570377111435,213.78469860553741,216.31735581159592,217.75150787830353,213.60831022262573,214.13950169086456,214.8595596551895,216.52603739500046
