shift,pair_00
-180,217.94340127706528
-179,217.86613994836807
-178,217.79276245832443
-177,217.72072023153305
-176,217.64978522062302
-175,217.57816064357758
-174,217.50538110733032
-173,217.43161910772324
-172,217.35702830553055
-171,217.28367495536804
-170,217.21226280927658
-169,217.14420741796494
-168,217.08095848560333
-167,217.02420580387115
-166,216.97475069761276
-165,216.93226981163025
-164,216.89679980278015
-163,216.86847007274628
-162,216.8463009595871
-161,216.82827949523926
-160,216.81260973215103
-159,216.79900306463242
-158,216.78758370876312
-157,216.7782523036003
-156,216.77177560329437
-155,216.7690430879593
-154,216.77108085155487
-153,216.77869522571564
-152,216.79174262285233
-151,216.80916154384613
-150,216.83086323738098
-149,216.8568393588066
-148,216.88688069581985
-147,216.92012614011765
-146,216.9558140039444
-145,216.99265885353088
-144,217.02899515628815
-143,217.06326788663864
-142,217.09495693445206
-141,217.12344193458557
-140,217.14727872610092
-139,217.16516149044037
-138,217.17647606134415
-137,217.1801797747612
-136,217.17648881673813
-135,217.1654844880104
-134,217.14753133058548
-133,217.1235601902008
-132,217.09396040439606
-131,217.05881190299988
-130,217.01876294612885
-129,216.97502529621124
-128,216.92856287956238
-127,216.88033390045166
-126,216.83085215091705
-125,216.78057795763016
-124,216.72997349500656
-123,216.6794916987419
-122,216.62953782081604
-121,216.58014917373657
-120,216.53186583518982
-119,216.48575073480606
-118,216.44330042600632
-117,216.40629756450653
-116,216.37633723020554
-115,216.35442996025085
-114,216.34125971794128
-113,216.337386906147
-112,216.34302574396133
-111,216.35760539770126
-110,216.3802192211151
-109,216.40923994779587
-108,216.4428380727768
-107,216.4790633916855
-106,216.51565724611282
-105,216.5503917336464
-104,216.58159923553467
-103,216.60795241594315
-102,216.6285718679428
-101,216.64298713207245
-100,216.65117889642715
-99,216.65336871147156
-98,216.65015786886215
-97,216.64256310462952
-96,216.6318337917328
-95,216.61923760175705
-94,216.60656660795212
-93,216.59544032812119
-92,216.58727395534515
-91,216.5833296775818
-90,216.58448296785355
-89,216.59062713384628
-88,216.60108399391174
-87,216.61482924222946
-86,216.63100469112396
-85,216.64970630407333
-84,216.6709607243538
-83,216.6944369673729
-82,216.71990674734116
-81,216.74721604585648
-80,216.77613961696625
-79,216.8064135313034
-78,216.8377029299736
-77,216.86932921409607
-76,216.90017223358154
-75,216.92906826734543
-74,216.95505315065384
-73,216.97732931375504
-72,216.9951747059822
-71,217.00840228796005
-70,217.01728463172913
-69,217.02239072322845
-68,217.02461659908295
-67,217.02522510290146
-66,217.0251435637474
-65,217.02500128746033
-64,217.02536696195602
-63,217.0266969203949
-62,217.0292534828186
-61,217.03317213058472
-60,217.03834277391434
-59,217.04466342926025
-58,217.05200737714767
-57,217.06038904190063
-56,217.06993120908737
-55,217.0809114575386
-54,217.09351003170013
-53,217.10774379968643
-52,217.12353998422623
-51,217.14040052890778
-50,217.1576360464096
-49,217.1747076511383
-48,217.1912386417389
-47,217.20674586296082
-46,217.2203285098076
-45,217.23133766651154
-44,217.2394557595253
-43,217.24477338790894
-42,217.24748075008392
-41,217.24745571613312
-40,217.24466919898987
-39,217.2392298579216
-38,217.23131799697876
-37,217.2213994860649
-36,217.210014462471
-35,217.1979449391365
