shift,pair_00
-180,217.9409865140915
-179,217.90178835391998
-178,217.87447726726532
-177,217.85359978675842
-176,217.8341297507286
-175,217.81233048439026
-174,217.78470408916473
-173,217.7474981546402
-172,217.69890767335892
-171,217.638134598732
-170,217.56528347730637
-169,217.48276376724243
-168,217.39510887861252
-167,217.30673867464066
-166,217.22217053174973
-165,217.14635568857193
-164,217.08255499601364
-163,217.03277772665024
-162,216.997937977314
-161,216.97681331634521
-160,216.96714782714844
-159,216.96759259700775
-158,216.97714412212372
-157,216.99473583698273
-156,217.0191406607628
-155,217.04914313554764
-154,217.08338344097137
-153,217.11978751420975
-152,217.1567218899727
-151,217.1925874352455
-150,217.22540789842606
-149,217.25409072637558
-148,217.2776386141777
-147,217.29660940170288
-146,217.31146574020386
-145,217.32268393039703
-144,217.3306484222412
-143,217.33578777313232
-142,217.33876860141754
-141,217.34001046419144
-140,217.33954936265945
-139,217.33828151226044
-138,217.3373368382454
-137,217.3381296992302
-136,217.34194803237915
-135,217.3493930697441
-134,217.36111801862717
-133,217.37689691781998
-132,217.3961473107338
-131,217.41807353496552
-130,217.44152003526688
-129,217.46526342630386
-128,217.4883359670639
-127,217.50930631160736
-126,217.52690809965134
-125,217.54069930315018
-124,217.55107200145721
-123,217.55872213840485
-122,217.56426811218262
-121,217.56836473941803
-120,217.57176715135574
-119,217.57500702142715
-118,217.57778483629227
-117,217.57925927639008
-116,217.57827985286713
-115,217.5736712217331
-114,217.56489723920822
-113,217.55235469341278
-112,217.53647434711456
-111,217.51840960979462
-110,217.4986834526062
-109,217.47774732112885
-108,217.45597821474075
-107,217.43413066864014
-106,217.4129592180252
-105,217.39341515302658
-104,217.37684446573257
-103,217.36519473791122
-102,217.35962635278702
-101,217.36073726415634
-100,217.36862593889236
-99,217.38281571865082
-98,217.40280538797379
-97,217.42801040410995
-96,217.4573535323143
-95,217.48952996730804
-94,217.52336645126343
-93,217.55800431966782
-92,217.5919926762581
-91,217.62395185232162
-90,217.65241450071335
-89,217.67615050077438
-88,217.6946313381195
-87,217.70807760953903
-86,217.717343211174
-85,217.7238528728485
-84,217.7293810248375
-83,217.73547303676605
-82,217.74317008256912
-81,217.75333714485168
-80,217.7665090560913
-79,217.7830600142479
-78,217.80331498384476
-77,217.82716047763824
-76,217.85411673784256
-75,217.88297575712204
-74,217.91199934482574
-73,217.93961864709854
-72,217.9649060368538
-71,217.9874906539917
-70,218.00685447454453
