shift,pair_02,pair_03,pair_04,pair_05,pair_06,pair_07,pair_08,pair_09,pair_10,pair_11,pair_12,pair_13,pair_14,pair_15,pair_16
-180,217.28583496809006,217.45785212516785,217.64907544851303,216.76503896713257,218.48580300807953,217.03443777561188,215.44389349222183,218.06694704294205,216.23520702123642,216.16874504089355,218.1109697818756,215.691539645195,215.48385858535767,216.4149500131607,216.6084020137787
-179,217.2282993197441,217.46911776065826,217.60608845949173,216.7432062625885,218.42453354597092,216.99585419893265,215.45964187383652,217.96115005016327,216.10700821876526,216.1288274526596,218.04482650756836,215.53895807266235,215.45297437906265,216.34484595060349,216.60448521375656
-178,217.1735976934433,217.4850264787674,217.57445967197418,216.71964424848557,218.3608711361885,216.95874279737473,215.48974806070328,217.86036986112595,215.9862980246544,216.1007885336876,217.98569011688232,215.40139609575272,215.4256688952446,216.27814030647278,216.6133617758751
-177,217.12026071548462,217.50027734041214,217.55151289701462,216.6916647553444,218.29622399806976,216.9197834134102,215.53133249282837,217.76728522777557,215.8747987151146,216.08294868469238,217.93085539340973,215.28251361846924,215.40196859836578,216.2179718017578,216.63247460126877
-176,217.0697324872017,217.51047480106354,217.53481954336166,216.65662920475006,218.2321708202362,216.87668812274933,215.58177357912064,217.6862552165985,215.77494078874588,216.073448240757,217.8796648979187,215.1845012307167,215.3827793598175,216.16605120897293,216.65780973434448
-175,217.02531147003174,217.51150208711624,217.5220103263855,216.61307567358017,218.17029988765717,216.8289983868599,215.63617050647736,217.61945009231567,215.69080913066864,216.068901181221,217.83296889066696,215.10950779914856,215.3675308227539,216.12213385105133,216.68510615825653
-174,216.9906289577484,217.5005954504013,217.5115061402321,216.55987322330475,218.112398147583,216.77793657779694,215.69229674339294,217.56731909513474,215.62536925077438,216.0674712061882,217.79160797595978,215.05567878484726,215.35532003641129,216.08492708206177,216.71053367853165
-173,216.9683946967125,217.47681319713593,217.5007992386818,216.50011152029037,218.05938613414764,216.72682416439056,215.74669069051743,217.52799129486084,215.57909953594208,216.0664211511612,217.75659888982773,215.01989948749542,215.34671664237976,216.054454267025,216.72978657484055
-172,216.95918041467667,217.44068956375122,217.48950296640396,216.43798846006393,218.0110560655594,216.67870301008224,215.7971928715706,217.49849659204483,215.55061703920364,216.0625155568123,217.72799462080002,214.99718648195267,215.3428601026535,216.02885913848877,216.73826384544373
-171,216.96391266584396,217.39454662799835,217.47704088687897,216.37910079956055,217.96604865789413,216.63793861865997,215.84050756692886,217.4750314950943,215.53850150108337,216.05151110887527,217.70455968379974,214.98177886009216,215.34479385614395,216.0056563615799,216.73387455940247
-170,216.98085415363312,217.3432975411415,217.46289080381393,216.32898712158203,217.92333775758743,216.60818898677826,215.87459522485733,217.45416295528412,215.5408900976181,216.03045624494553,217.6855584383011,214.9677855372429,215.352720618248,215.98246413469315,216.71655803918839
-169,217.00653046369553,217.2903996706009,217.4479261636734,216.29049295186996,217.88289958238602,216.59060007333755,215.89825332164764,217.43503254652023,215.55467426776886,215.99784964323044,217.67034482955933,214.95164453983307,215.36565518379211,215.95796996355057,216.68777614831924
-168,217.03668814897537,217.239139854908,217.4318920969963,216.2642422914505,217.84631222486496,216.58373486995697,215.91098338365555,217.41780054569244,215.57767498493195,215.95300769805908,217.65814816951752,214.93070924282074,215.38147115707397,215.92997682094574,216.65008682012558
-167,217.0670988559723,217.19159597158432,217.41394144296646,216.250242292881,217.814701795578,216.58660465478897,215.91273832321167,217.40190821886063,215.60774147510529,215.8983532190323,217.64913773536682,214.90506929159164,215.3980868458748,215.8964114189148,216.60651868581772
-166,217.09313476085663,217.14848107099533,217.393883228302,216.2475054860115,217.78727823495865,216.59861981868744,215.903866648674,217.38781040906906,215.64267814159393,215.8375661969185,217.64324527978897,214.87892359495163,215.41357374191284,215.85545080900192,216.56164693832397
-165,217.11174547672272,217.11103111505508,217.3720293045044,216.25424700975418,217.7632339000702,216.62017261981964,215.88333475589752,217.37798035144806,215.6804654598236,215.77394896745682,217.64070504903793,214.85763710737228,215.42737710475922,215.80512410402298,216.5195699930191
-164,217.12202686071396,217.07965540885925,217.34838670492172,216.26864165067673,217.7416409254074,216.65102303028107,215.8518425822258,217.37413561344147,215.71963793039322,215.71124756336212,217.6406180858612,214.84439742565155,215.44055676460266,215.74604773521423,216.48328387737274
-163,217.12409353256226,217.05541414022446,217.32326984405518,216.28932404518127,217.7230799794197,216.6915031671524,215.8093112707138,217.37631565332413,215.7581667304039,215.6529656648636,217.64169561862946,214.8390554189682,215.4549589753151,215.68127089738846,216.45460641384125
-162,217.1192193031311,217.0390795469284,217.29592204093933,216.31550616025925,217.70802855491638,216.74119424819946,215.75650930404663,217.38515889644623,215.7953258752823,215.60096645355225,217.6429067850113,214.83884167671204,215.47159868478775,215.61381673812866,216.4351549744606
-161,217.10872787237167,217.0310333967209,217.2660717368126,216.3466601371765,217.6968544125557,216.7987579703331,215.69590818881989,217.39928859472275,215.8318114876747,215.55680531263351,217.64315897226334,214.8408453464508,215.4901580810547,215.54661965370178,216.42473727464676
-160,217.09411484003067,217.0298923254013,217.2342762351036,216.38142704963684,217.68929833173752,216.86164504289627,215.63031482696533,217.41732650995255,215.86926847696304,215.52055490016937,217.6413985490799,214.84267324209213,215.50788527727127,215.4816283583641,216.42226713895798
-159,217.0763964653015,217.0335572361946,217.20230901241302,216.41809445619583,217.68601828813553,216.92668652534485,215.56353902816772,217.4376118183136,215.90919119119644,215.49235594272614,217.63677269220352,214.84335035085678,215.52221536636353,215.42056292295456,216.42623966932297
-158,217.0575031042099,217.03955763578415,217.17133349180222,216.45479542016983,217.68766885995865,216.9906052350998,215.50093895196915,217.45908218622208,215.95105016231537,215.4731666445732,217.62882351875305,214.8432023525238,215.5318614244461,215.3652470111847,216.4359152317047
-157,217.03981178998947,217.0466940999031,217.14330965280533,216.49021953344345,217.69455379247665,217.05014491081238,215.44756788015366,217.48095792531967,215.99334925413132,215.46374785900116,217.61840683221817,214.84321504831314,215.53413450717926,215.31699764728546,216.44884449243546
-156,217.02511537075043,217.0548574924469,217.1206938624382,216.5234830379486,217.70608919858932,217.1033432483673,215.40766268968582,217.50283581018448,216.03329986333847,215.46426737308502,217.60662013292313,214.84499913454056,215.5277881026268,215.27819913625717,216.46251940727234
-155,217.01459974050522,217.06487184762955,217.10517436265945,216.55314433574677,217.722088098526,217.14900028705597,215.38306093215942,217.5238192677498,216.06809854507446,215.4755848646164,217.5942549109459,214.85042935609818,215.51257318258286,215.24983286857605,216.47632503509521
-154,217.00809079408646,217.07854068279266,217.09699994325638,216.57862961292267,217.74199199676514,217.18729496002197,215.37324571609497,217.5434753894806,216.09560704231262,215.4969778060913,217.5817285180092,214.8607701063156,215.48814994096756,215.23218405246735,216.4894273877144
