y_bin,"(0.9999, 1.001]","(1.001, 1.0015]","(1.0015, 1.0017]","(1.0017, 1.0023]","(1.0023, 1.0034]","(1.0034, 1.0049]","(1.0049, 1.0071]","(1.0071, 1.0135]"
"(11.485000000000001, 15.389]",0.625,0.6666666666666666,0.8,0.75,0.75,1.0,,
"(15.389, 16.865]",1.0,0.8,0.75,1.0,0.0,1.0,,1.0
"(16.865, 17.417]",,1.0,1.0,1.0,0.5,,1.0,1.0
"(17.417, 17.964]",,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
"(17.964, 18.607]",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"(18.607, 19.205]",1.0,0.6,1.0,1.0,1.0,1.0,1.0,
"(19.205, 20.664]",1.0,0.8,1.0,1.0,0.9,1.0,1.0,
"(20.664, 42.842]",0.7142857142857143,1.0,1.0,1.0,1.0,,,
