n,pct_correct,metric_min,metric_max,metric_median
24,0.25,0.0001576134893629,0.0052396867010328,0.0037730724944008
23,0.6521739130434783,0.0052585715717737,0.0064780108133951,0.0057512293921576
23,0.782608695652174,0.0064865859349568,0.0071207547187805,0.0068064524067774
24,0.75,0.0071267647213406,0.0077680921554565,0.0075530952877468
23,0.7391304347826086,0.0078396995862325,0.0085195827484131,0.0081593532032436
23,0.8260869565217391,0.0085342388682895,0.009599233203464,0.0088589896096125
23,0.8260869565217391,0.0096292821566263,0.0108395155270893,0.010202379491594
24,0.9166666666666666,0.0110865518781873,0.0151872653431364,0.012766620053185199
23,1.0,0.0152018207973904,0.0194948593775431,0.0172794100973341
23,1.0,0.0197137390242683,0.0244900886217752,0.021855960951911
24,1.0,0.0246347898907132,0.0317981765005322,0.028346517880757552
23,1.0,0.0318960740831164,0.0480904512935214,0.0344481778144836
