y_bin,"(1.596, 3.427]","(3.427, 4.246]","(4.246, 5.447]","(5.447, 7.613]","(7.613, 11.331]","(11.331, 17.136]","(17.136, 28.072]","(28.072, 59.955]"
"(3.386, 4.262]",9.0,7.0,6.0,3.0,3.0,1.0,,3.0
"(4.262, 4.449]",3.0,2.0,4.0,3.0,2.0,,6.0,11.0
"(4.449, 4.658]",,3.0,4.0,2.0,1.0,1.0,7.0,14.0
"(4.658, 4.798]",2.0,3.0,2.0,4.0,5.0,4.0,8.0,3.0
"(4.798, 4.895]",1.0,2.0,4.0,5.0,3.0,11.0,4.0,1.0
"(4.895, 5.075]",3.0,6.0,1.0,,7.0,9.0,6.0,
"(5.075, 5.438]",4.0,3.0,4.0,9.0,6.0,5.0,,
"(5.438, 7.582]",10.0,5.0,7.0,5.0,4.0,1.0,,
