y_bin,"(0.9999, 1.001]","(1.001, 1.0014]","(1.0014, 1.0017]","(1.0017, 1.0023]","(1.0023, 1.0034]","(1.0034, 1.0049]","(1.0049, 1.0071]","(1.0071, 1.0135]"
"(3.386, 4.262]",0.8333333333333334,0.5,0.8,0.7142857142857143,0.6,1.0,0.0,1.0
"(4.262, 4.449]",0.0,0.75,0.6666666666666666,1.0,,1.0,1.0,1.0
"(4.449, 4.658]",,1.0,0.6666666666666666,1.0,,1.0,1.0,1.0
"(4.658, 4.798]",,1.0,1.0,1.0,0.8,1.0,1.0,1.0
"(4.798, 4.895]",0.5,0.5,1.0,1.0,1.0,1.0,1.0,
"(4.895, 5.075]",1.0,0.8,1.0,1.0,1.0,1.0,1.0,
"(5.075, 5.438]",1.0,0.8888888888888888,1.0,1.0,0.9,,1.0,
"(5.438, 7.582]",0.6470588235294118,1.0,1.0,1.0,1.0,,,
