n,pct_correct,feature_min,feature_max,feature_median
26,0.7692307692307693,3.3866053677359105,4.226197998751644,4.052178653968532
25,0.84,4.2285532252508204,4.3632018521251075,4.303103012200434
25,0.88,4.3672053040344565,4.508883626237221,4.4518350552600765
25,0.96,4.509710781474141,4.669504834047203,4.611988074113384
25,0.96,4.673784103488245,4.7954204993233915,4.741351818821997
25,0.96,4.801378930512328,4.8798411372623605,4.836567201019534
25,0.92,4.879878621354706,5.0132611345986575,4.920482682755285
25,1.0,5.020014583971879,5.176620911878842,5.073226366378407
25,0.92,5.18276814161203,5.507017094972525,5.3361673870310256
26,0.7692307692307693,5.51967453146203,7.58226823837353,5.761525598735943
