n,pct_correct,feature_min,feature_max,feature_median
28,0.5,0.3494432161443522,1.0112097442121906,0.7824165132913365
28,0.6785714285714286,1.0116828965035942,1.3008411797571846,1.2000510515168166
28,0.6428571428571429,1.3059482078505698,1.540184313104039,1.44338477343555
28,0.7142857142857143,1.5423969642514834,1.8150140149260479,1.6524474367062676
28,0.75,1.8288744868319244,2.256999237236678,2.036764202257464
28,0.8928571428571429,2.2618047618535773,2.737069233830023,2.4431087463170327
28,0.9642857142857143,2.753034290374608,3.7029805334274832,3.0559819081849593
28,0.9642857142857143,3.7119112515199815,5.542611809198156,4.409836101029597
28,1.0,5.614149255077916,8.522389496708684,7.111483672463878
28,1.0,8.56263696659042,13.705140049696892,9.818608481459638
