overlap_id,pair_id,expected_shift,true_shift,peak1_shift,peak1_value,peak1_idx,peak_std,peak_std_norm,peak_to_baseline_std_ratio,peak2_shift,peak2_value,peak_ratio,peak_margin,baseline_median,baseline_mean,baseline_std,baseline_mad_std,psr_median_mad,psr_mean_std,half_level,level_95,left_cross_50,right_cross_50,width_50,left_cross_95,right_cross_95,width_95,left_width_50,right_width_50,left_width_95,right_width_95,prominence,prominence_left_base_shift,prominence_right_base_shift,candidate_peak_count,is_boundary_peak,incomplete_50,incomplete_95,distance_to_expected,abs_error_true,is_correct_true_1px,is_correct_true_2px,is_correct_true_5px
ovlp_010,pair_00,180.0,180.0,178.0,0.9802971381611294,358,0.006292784977949328,0.006419262826527804,3.7119112515199815,172.0,0.9758419953452218,1.0045654346063797,0.004455142815907642,0.9648806092474196,0.9647226643570155,0.0016952951058225088,0.001626956621408457,9.475685283092378,9.18688065023206,0.9725888737042745,0.9795263117154439,169.67931966947143,,,175.48873039071157,179.98589772613443,4.4971673354228585,8.320680330528575,,2.5112696092884335,1.985897726134425,0.0007782853974236392,134.0,180.0,12,True,True,False,2.0,2.0,False,True,True
ovlp_010,pair_01,180.0,180.0,177.0,0.9763504380649991,357,0.007140229109655326,0.00731318267630047,4.224583286324182,171.0,0.9699213531282213,1.006628460045799,0.006429084936777851,0.9613851231998868,0.9608265584709225,0.0016901617569642124,0.0012906553522744157,11.595128659824002,9.184848450221645,0.9688677806324429,0.9756021723217435,170.36325335328007,,,175.38035769724382,179.19419925831167,3.8138415610678464,6.636746646719928,,1.6196423027561764,2.19419925831167,0.0014116647508408686,137.0,180.0,9,True,True,False,3.0,3.0,False,False,True
ovlp_010,pair_02,180.0,180.0,178.0,0.9850773395432366,358,0.005074124267324192,0.005150990753352397,3.657295137363396,172.0,0.9810471081733704,1.0041080915852962,0.004030231369866244,0.9705746999051836,0.9702691443306614,0.0013873980843072487,0.0008517144703865655,17.02758394074332,10.673357113628452,0.9778260197242101,0.984352207561334,169.17453441121918,,,175.63048575373935,,,8.825465588780816,,2.3695142462606498,,0.0005112351311575836,-155.0,180.0,8,True,True,True,2.0,2.0,False,True,True
ovlp_020,pair_00,160.0,160.0,158.0,0.9795654514100817,338,0.001925115608055673,0.001965275117945896,2.7570164767204397,152.0,0.9777253749635485,1.0018819972291317,0.0018400764465331676,0.9744724296198951,0.9742759564494093,0.0006982604653656841,0.0007803811521530304,6.5263259833162035,7.575246234085698,0.9770189405149884,0.9793108003205724,150.73335404171212,165.2417870222343,14.508432980522173,155.77262986619576,159.75448762768622,3.98185776149046,7.2666459582878815,7.241787022234291,2.227370133804243,1.754487627686217,0.004285218185848816,126.0,172.0,12,False,False,False,2.0,2.0,False,True,True
ovlp_020,pair_01,160.0,160.0,159.0,0.9706320537461175,339,0.0031966315845684736,0.003293350525805526,2.4588398819742237,153.0,0.9681613945960998,1.002551908353099,0.002470659150017651,0.9612481490770977,0.9608395380543338,0.0013000568308668683,0.0013242476765314335,7.08621569463414,7.532375092598195,0.9659401014116076,0.9701628585126665,150.24748505863587,168.04483744112858,17.797352382492704,156.44603269571923,161.21883946551188,4.772806769792652,8.752514941364126,9.044837441128578,2.553967304280775,2.218839465511877,0.006823924647437307,-165.0,180.0,11,False,False,False,1.0,1.0,True,True,True
ovlp_020,pair_02,160.0,160.0,158.0,0.9708032374911838,338,0.00357314009231773,0.003680601747426887,2.9968398853358886,164.0,0.9681111931800842,1.002780718093194,0.002692044311099595,0.9595517441961501,0.9595029425405794,0.0011923026351196768,0.0012885044302144984,8.732211571178437,9.47770693257765,0.965177490843667,0.9702406628264321,149.871472435558,167.52511929102312,17.653646855465126,156.05877487064623,160.8037653889385,4.744990518292269,8.12852756444201,9.525119291023117,1.941225129353768,2.8037653889385012,0.00821655061509885,-143.0,174.0,10,False,False,False,2.0,2.0,False,True,True
ovlp_020,pair_03,160.0,160.0,158.0,0.9728329867786831,338,0.0043824967717699444,0.004504880931599157,2.613862116707488,152.0,0.9697389658292135,1.0031905709252633,0.0030940209494696447,0.9633069063557518,0.9627889638841152,0.0016766365539167348,0.0017901456818583171,5.321399548355473,5.990578501407747,0.9680699465672175,0.9723566827575365,150.30230064389931,164.94029941468276,14.63799877078344,155.6499254791032,159.7433214695332,4.093395990430025,7.697699356100685,6.940299414682755,2.3500745208968112,1.743321469533214,0.011455547544691247,132.0,175.0,9,False,False,False,2.0,2.0,False,True,True
ovlp_020,pair_04,160.0,160.0,159.0,0.9780696566899617,339,0.0027020973276643805,0.0027626839348119337,2.4141675342436857,153.0,0.9758443601926169,1.002280380548498,0.0022252964973448197,0.9696907901763916,0.9695717414286401,0.0011192666993224635,0.000665504083077054,12.5902556071921,7.592395330322722,0.9738802234331767,0.9776507133642832,150.15733607892815,168.13566229569145,17.978326216763293,156.4114015823138,161.11348724222452,4.702085659910722,8.842663921071846,9.135662295691446,2.5885984176861996,2.1134872422245223,0.007173435158199681,-150.0,180.0,12,False,False,False,1.0,1.0,True,True,True
ovlp_020,pair_05,160.0,160.0,159.0,0.9665101117557948,339,0.005169709279421204,0.005348841379455137,3.3385962417427097,165.0,0.9626433372497558,1.0040168298646166,0.0038667745060390057,0.9543487603134579,0.9538030697074202,0.0015484679503271332,0.0011133968303997813,10.922746598775719,8.206202812069867,0.9604294360346264,0.965902044183678,151.96122080111678,167.09648138173446,15.135260580617683,156.90506378196162,161.1247752003495,4.219711418387874,7.038779198883219,8.096481381734463,2.0949362180383844,2.1247752003494895,0.010839515527089394,136.0,175.0,10,False,False,False,1.0,1.0,True,True,True
ovlp_020,pair_06,160.0,160.0,158.0,0.9703153220812479,338,0.00435438140816894,0.004487594196522779,3.6326523919764404,164.0,0.9668469768100315,1.0035872742578766,0.003468345271216422,0.9591487679216597,0.9592341615706681,0.0011986782489253874,0.0011739325316747103,9.51209192887621,9.244482846430286,0.9647320450014538,0.9697569943732686,150.07993300156465,166.14406828617925,16.064135284614594,155.76266032931076,160.19300900600456,4.4303486766937965,7.920066998435345,8.144068286179248,2.237339670689238,2.1930090060045586,0.010226146909925626,132.0,175.0,10,False,False,False,2.0,2.0,False,True,True
