n,pct_correct,feature_min,feature_max,feature_median
28,0.35714285714285715,0.0003645932383829689,0.0015560645230741263,0.0013099228660424305
28,0.7142857142857143,0.0015674111541452518,0.0019407652478614945,0.0017678305994214716
28,0.75,0.0019415298781547744,0.0022956766012487053,0.0020869712965562847
28,0.7857142857142857,0.002304318288238703,0.002616929161299295,0.00246468586252128
28,0.7142857142857143,0.002619344201461343,0.003082558101087339,0.002805569938068054
28,0.8928571428571429,0.003104022777636048,0.0036618533064855453,0.0033307686421115033
28,0.9285714285714286,0.003680601747426887,0.005150990753352397,0.0043805658116728595
28,1.0,0.005236006151273254,0.007097638106257912,0.006121323724393705
28,0.9642857142857143,0.007176074866587452,0.009334432256205947,0.00785050996561001
28,1.0,0.009502086310649542,0.015267861201012926,0.01058315923521274
