n,pct_correct,feature_min,feature_max,feature_median
25,0.76,11.485661798435629,14.89100341472772,14.476517513405526
25,0.76,14.898833424908958,16.498806710926758,15.758150599653305
24,0.9583333333333334,16.536596662018958,17.12394098969034,16.864505256975683
25,1.0,17.163104961093552,17.485728556428498,17.30385186254921
25,0.96,17.51045039269632,17.963947234316343,17.747812936107394
24,1.0,17.978326216763293,18.489656745044883,18.303957485987823
25,0.96,18.492609824429728,18.905043555731517,18.657081435638357
24,0.9583333333333334,18.907912574000157,19.43440102234447,19.204573335077903
25,0.92,19.455116115942317,20.97811281593122,20.137190983136882
25,0.84,20.980095569050164,42.841858401375276,23.128258024472274
