n,pct_correct,feature_min,feature_max,feature_median
29,0.27586206896551724,1.0000112385852786,1.000656586383051,1.0003191399232283
27,0.8518518518518519,1.0006639539737365,1.0011691262331268,1.0009781693972797
28,0.7142857142857143,1.001190829788096,1.0014681826574028,1.001306656212138
28,0.7857142857142857,1.0014872368707013,1.0016936190766457,1.0015728765757475
28,0.8214285714285714,1.001715266629741,1.0020939296668834,1.0018453234228462
28,0.8928571428571429,1.0021009656007782,1.002646275829295,1.0023629788017514
28,0.8214285714285714,1.002713037973529,1.0039721840300126,1.003413981152689
29,1.0,1.0040168298646166,1.0053509006196584,1.0045947621378581
27,0.9629629629629629,1.0054631450343006,1.0074012579609333,1.0061588576033433
28,1.0,1.0074138440032103,1.013547341750083,1.0089419388656125
