overlap_id,n_pairs,expected_shift,true_shift,consensus_shift_weighted_median,consensus_shift_median,shift_std,shift_mad,boundary_fraction,incomplete_50_fraction,incomplete_95_fraction,median_peak_ratio,median_peak_margin,median_psr_median_mad,median_psr_mean_std,median_width_50,median_width_95,median_prominence,mean_candidate_peak_count,support_within_1px,support_within_2px,support_within_5px,distance_consensus_to_expected,abs_error_true,is_correct_true_1px,is_correct_true_2px,is_correct_true_5px
ovlp_010,3,180.0,180.0,178.0,178.0,0.4714045207910317,0.0,1.0,1.0,0.3333333333333333,1.0045654346063797,0.004455142815907642,11.595128659824002,9.18688065023206,,4.1555044482453525,0.0007782853974236392,9.666666666666666,1.0,1.0,1.0,2.0,2.0,False,True,True
ovlp_020,13,160.0,160.0,158.0,158.0,0.532938710021193,0.0,0.0,0.0,0.0,1.002780718093194,0.002692044311099595,8.949384285978898,7.575246234085698,16.064135284614594,4.353031511817505,0.008401005797915806,10.076923076923077,1.0,1.0,1.0,2.0,2.0,False,True,True
ovlp_030,13,140.0,140.0,138.0,138.0,0.7297563831157798,1.0,0.0,0.0,0.0,1.0019235092879333,0.0018679102261861535,5.184435034789688,5.214571610403138,15.758150599653305,4.315714066051726,0.008845442136128812,8.461538461538462,1.0,1.0,1.0,2.0,2.0,False,True,True
ovlp_032,1,136.0,136.0,134.0,134.0,0.0,0.0,0.0,0.0,0.0,1.001798003698879,0.0017485335138109903,5.069066223909468,5.0302724569222566,18.83648921157362,5.009986707946467,0.008203973505232165,10.0,1.0,1.0,1.0,2.0,2.0,False,True,True
ovlp_034,1,131.99999999999997,131.99999999999997,130.0,130.0,0.0,0.0,0.0,0.0,0.0,1.0018463900850616,0.0017873446146646765,4.684199436062469,4.947952565230614,15.44077054517868,4.4023942844508355,0.0074561574723986945,11.0,1.0,1.0,1.0,1.9999999999999716,1.9999999999999716,False,True,True
ovlp_035,15,130.0,130.0,128.0,128.0,13.03670033235234,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,1.001547950668889,0.0014890673425462797,4.005584840888051,3.641073473928509,15.491013324772567,4.341042019139685,0.00783969958623254,8.0,0.8,0.9333333333333333,0.9333333333333333,2.0,2.0,False,True,True
ovlp_036,1,128.0,128.0,127.0,127.0,0.0,0.0,0.0,0.0,0.0,1.0015827105825852,0.001533623006608864,5.529188645692527,4.445565066102554,15.631905565685358,4.546293786169599,0.009000705348120808,10.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_038,1,124.0,124.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,1.001273543540643,0.0012348945935567457,3.3197965106367433,3.644382164106857,16.12063132768182,4.422246961525957,0.007556077109442727,10.0,1.0,1.0,1.0,0.0,0.0,True,True,True
ovlp_040,20,120.0,120.0,118.0,118.0,50.24052149410872,1.0,0.0,0.0,0.0,1.0013272795277968,0.001288551621966949,3.879407875444184,3.668177774895472,16.0113034207858,4.511672473760164,0.007092860142389912,9.45,0.85,0.85,0.9,2.0,2.0,False,True,True
ovlp_042,1,116.00000000000001,116.00000000000001,180.0,180.0,0.0,0.0,1.0,1.0,1.0,1.0001656397639325,0.00015990071826521568,5.104046865293176,3.1670705630572282,,,0.004473146067725198,9.0,1.0,1.0,1.0,63.999999999999986,63.999999999999986,False,False,False
ovlp_044,1,112.00000000000001,112.00000000000001,180.0,180.0,0.0,0.0,1.0,1.0,1.0,1.0011691262331268,0.0011377130614387276,3.6984901332946922,3.9293147428457695,,,0.004195912149217551,8.0,1.0,1.0,1.0,67.99999999999999,67.99999999999999,False,False,False
ovlp_045,15,110.00000000000001,110.00000000000001,109.0,109.0,89.96359757640246,2.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,1.000799285441136,0.0007712464862400514,3.4157110651171316,3.0852338554261935,19.20307649765398,5.198193777643269,0.005803340540991853,8.533333333333333,0.4666666666666667,0.6666666666666666,0.6666666666666666,1.0000000000000142,1.0000000000000142,False,True,True
ovlp_046,1,108.0,108.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,1.0009694790905597,0.0009405316246881013,4.246131803554721,3.3817058538517153,22.728616713186852,5.8806023249501465,0.007151387797461606,11.0,1.0,1.0,1.0,0.0,0.0,True,True,True
ovlp_048,1,104.0,104.0,180.0,180.0,0.0,0.0,1.0,1.0,1.0,1.0006743041630763,0.0006513410144382004,5.043513107201266,3.446264956816365,,,0.006486585934956879,6.0,1.0,1.0,1.0,76.0,76.0,False,False,False
ovlp_050,19,100.0,100.0,167.0,161.0,173.15280747606175,19.0,0.9473684210526315,0.9473684210526315,0.7894736842105263,1.0014168407132398,0.0013302567270067067,5.950689197855699,5.1710115815314515,19.3987836468189,5.602656959965884,0.0068064524067774634,10.052631578947368,0.05263157894736842,0.05263157894736842,0.10526315789473684,67.0,67.0,False,False,False
ovlp_052,1,96.0,96.0,180.0,180.0,0.0,0.0,1.0,1.0,1.0,1.0001184631351119,0.00011455668343429704,3.9417327345874216,3.196155554924363,,,0.005683932569291894,9.0,1.0,1.0,1.0,84.0,84.0,False,False,False
ovlp_054,1,92.0,92.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,1.0010978238108865,0.001062277952829982,3.0919319127598444,3.905380319014121,18.997400860501614,5.065747957899703,0.006689535246955147,11.0,1.0,1.0,1.0,2.0,2.0,False,True,True
ovlp_055,15,89.99999999999999,89.99999999999999,90.0,90.0,72.45013610906624,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,1.0008793861712448,0.0008515961964924434,3.6149900850754193,3.4006125918438617,19.785442701175214,5.049513497162124,0.006007220745086639,9.333333333333334,0.7333333333333333,0.8,0.8666666666666667,1.4210854715202004e-14,1.4210854715202004e-14,True,True,True
ovlp_056,1,87.99999999999999,87.99999999999999,87.0,87.0,0.0,0.0,0.0,0.0,0.0,1.0015127870517673,0.0014616062906053218,3.881835959251387,4.066281200751305,16.986380103853364,4.509710781474141,0.006684044731988026,11.0,1.0,1.0,1.0,0.9999999999999858,0.9999999999999858,True,True,True
ovlp_058,1,84.00000000000001,84.00000000000001,83.0,83.0,0.0,0.0,0.0,0.0,0.0,1.0019828724654218,0.001902359856499669,7.350637571509823,4.656545316986897,16.444778546080997,4.5249353146443525,0.007870151996612673,12.0,1.0,1.0,1.0,1.0000000000000142,1.0000000000000142,False,True,True
ovlp_060,19,80.0,80.0,79.0,79.0,22.534922113942184,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,1.0012729111466465,0.0012320600615607358,3.884594611728664,4.181788676345831,18.631422449316112,5.116027276807053,0.0072584154870773965,9.631578947368421,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,True,True,True
ovlp_062,1,76.0,76.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0014091281475783,0.0013617126146951986,6.408081741881916,6.268879122107179,18.52848515413895,5.122238265075268,0.00864431036843194,9.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_064,1,72.0,72.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,1.0012515910812967,0.0012147400114272955,3.960214336471962,3.5738082182710427,19.327771296742362,5.129564026777047,0.008249320718977105,8.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_065,15,70.0,70.0,69.0,69.0,0.6798692684790381,0.0,0.0,0.0,0.0,1.0016611242823972,0.0016131869951881983,6.178092128874286,5.254309375981157,19.950632583160377,5.198128365436915,0.008840234014723114,8.466666666666667,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_066,1,68.0,68.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,1.002077725559647,0.0020151127709283623,8.196436993687675,7.028699341966763,17.23254126314449,4.730893004851126,0.009382589393192031,10.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_068,1,63.99999999999999,63.99999999999999,63.0,63.0,0.0,0.0,0.0,0.0,0.0,1.0020712795546192,0.0020164243380228486,16.377759664922326,10.065638486207835,20.137190983136882,5.26673958622672,0.010037296083238223,9.0,1.0,1.0,1.0,0.9999999999999929,0.9999999999999929,True,True,True
ovlp_070,26,60.00000000000001,60.00000000000001,59.0,59.0,0.3374986302843124,0.0,0.0,0.0,0.0,1.002563365204797,0.0024900268183813967,8.96630028683889,8.801518854486106,19.303251623228256,5.097501956136245,0.012729483445485357,8.692307692307692,1.0,1.0,1.0,1.000000000000007,1.000000000000007,False,True,True
ovlp_072,1,56.00000000000001,56.00000000000001,55.0,55.0,0.0,0.0,0.0,0.0,0.0,1.0033980805819285,0.0032994969685871123,8.13624714721718,8.741974479951688,20.92133389645143,5.327832891061782,0.018537538846333912,9.0,1.0,1.0,1.0,1.000000000000007,1.000000000000007,False,True,True
ovlp_074,1,52.0,52.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,1.0039721840300126,0.0038625062836540325,13.254255413934008,15.310816332102013,18.905043555731517,5.011379472109255,0.018271936045752613,7.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_075,15,50.0,50.0,49.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0036794260155475,0.003593101766374285,12.576359636496282,11.175741544426181,18.699448537965054,4.893368552262508,0.016585807005564557,8.866666666666667,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_076,1,48.0,48.0,47.0,47.0,0.0,0.0,0.0,0.0,0.0,1.0041045288471833,0.004000439908769415,10.098955487747528,12.2571758282588,19.455116115942317,4.910625199339172,0.018678264353010565,6.0,1.0,1.0,1.0,1.0,1.0,True,True,True
ovlp_078,1,43.99999999999999,43.99999999999999,43.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0055895718901307,0.005440126789940769,18.929947027986053,14.24425892179252,19.053031270017826,4.873598857291789,0.026432432333628353,7.0,1.0,1.0,1.0,0.9999999999999929,0.9999999999999929,True,True,True
ovlp_080,20,39.99999999999999,39.99999999999999,39.0,39.0,0.3,0.0,0.0,0.0,0.0,1.0049026063335043,0.004794070853127386,19.821137325913256,15.939773301854027,18.404019972762406,4.811280804207264,0.02087259014447529,8.55,1.0,1.0,1.0,0.9999999999999929,0.9999999999999929,True,True,True
ovlp_082,1,36.00000000000001,36.00000000000001,35.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0045947621378581,0.004518725077311325,11.321680168885415,14.727049407121934,19.43440102234447,5.005097541786817,0.021852442688412133,10.0,1.0,1.0,1.0,1.000000000000007,1.000000000000007,False,True,True
ovlp_084,1,32.00000000000001,32.00000000000001,31.0,31.0,0.0,0.0,0.0,0.0,0.0,1.006031794151323,0.005912538104586917,18.60929075567266,19.524541569321176,17.747812936107394,4.669504834047203,0.025233047273423792,8.0,1.0,1.0,1.0,1.000000000000007,1.000000000000007,False,True,True
