n,pct_correct,feature_min,feature_max,feature_median
28,0.6785714285714286,1.596882159999825,3.1885219834158343,2.7564529553980233
28,0.75,3.2456841742562323,3.884594611728664,3.6481253899506
28,0.6428571428571429,3.898557768202932,4.636946327404239,4.218910898121074
28,0.6071428571428571,4.636965467697382,5.529188645692527,5.0241763224012
28,0.75,5.546104907500396,6.77760316528127,6.113692463471496
28,0.8928571428571429,6.85796563413121,9.18995801357724,8.067271394079365
29,0.8275862068965517,9.243666527741574,12.645335565296708,11.33228186706917
27,0.9629629629629629,12.736181396178402,20.801899132181386,14.894380017389718
28,1.0,20.931353146114198,28.357199997396098,24.666565474171662
28,1.0,28.559091864599317,59.954562766076414,32.353017397559015
