n,pct_correct,feature_min,feature_max,feature_median
29,0.27586206896551724,1.093996895684679e-05,0.0006320473882887034,0.00031052456961755404
27,0.8518518518518519,0.000638958083258756,0.0011377130614387276,0.0009405316246881013
28,0.7142857142857143,0.001144473552704084,0.0014097931649951212,0.0012657211886512032
28,0.75,0.0014358947012159673,0.0016318310631646682,0.0015260748068492425
28,0.8571428571428571,0.001638506783379512,0.002020191351572831,0.0017946898937224454
28,0.8928571428571429,0.0020246126916674267,0.0025786537594265635,0.0022984227869245477
28,0.8214285714285714,0.002619279755486481,0.0038625062836540325,0.0032869814501868544
29,1.0,0.0038667745060390057,0.005298055542839908,0.004518725077311325
27,0.9629629629629629,0.005357576741112591,0.007283950646718496,0.006052875253889423
28,1.0,0.007313075860341356,0.013312977949778149,0.008803882201512736
