n,pct_correct,feature_min,feature_max,feature_median
28,0.32142857142857145,0.0003571719318242763,0.0014852817740591954,0.0012702125732905536
28,0.75,0.0015145547694913302,0.0018842726436613584,0.0017124083957585855
28,0.75,0.0018878680428434085,0.0022260859036779563,0.0020225851905013303
28,0.75,0.002233205678812358,0.002517722629982602,0.0023997972439776575
28,0.7142857142857143,0.0025318494474008677,0.0029954417212833045,0.0027199215246890337
28,0.9285714285714286,0.002999701183805708,0.00357314009231773,0.003258475963592668
28,0.9285714285714286,0.0035769655761694157,0.005074124267324192,0.004251701598015889
28,1.0,0.005128598621563251,0.006946484776725696,0.006036457219586561
28,0.9642857142857143,0.00706152033358822,0.009215992094111315,0.007719520824802675
28,1.0,0.009379764100547795,0.01520699377563931,0.01050571151817678
