y_bin,"(0.999, 1.001]","(1.001, 1.002]","(1.002, 1.003]","(1.003, 1.006]","(1.006, 1.014]"
"(3.386, 4.364]",9.0,10.0,12.0,5.0,15.0
"(4.364, 4.671]",4.0,8.0,3.0,7.0,28.0
"(4.671, 4.88]",4.0,10.0,13.0,16.0,7.0
"(4.88, 5.182]",9.0,10.0,10.0,20.0,1.0
"(5.182, 7.582]",25.0,12.0,12.0,2.0,
