n,pct_correct,metric_min,metric_max,metric_median
24,0.20833333333333334,0.0003645932383829,0.0015062518983228,0.0012970633094523
23,0.5652173913043478,0.0015324359389452,0.0018471129652447,0.0016241887492462
23,0.6086956521739131,0.0018501431116278,0.0020786789501771,0.0019507371145334
24,0.4166666666666667,0.0020952636429354,0.0024168740828816,0.0022710732048071
23,0.391304347826087,0.0024211783606058,0.0026270027545806,0.0025527842259477
23,0.34782608695652173,0.0026298506596647,0.0030825581010873,0.0028796794858736
23,0.2608695652173913,0.003104022777636,0.0035627058236099,0.0033124586962865
24,0.16666666666666666,0.0036229124517635,0.0045048809315991,0.004093027669391
23,0.8260869565217391,0.0045060073616119,0.0061046517495156,0.0053924458123645
23,0.8260869565217391,0.0061379956992717,0.0076199448665454,0.0068629476844657
23,0.6521739130434783,0.0076639766710385,0.0099345962812406,0.0089104034663993
24,1.0,0.0100368871733487,0.0152678612010129,0.011040058238907451
