n,pct_correct,metric_min,metric_max,metric_median
24,0.16666666666666666,1.0000112385852786,1.000581404349426,1.0001702168771311
24,0.625,1.00062817560736,1.001019108927073,1.0008900477111111
22,0.45454545454545453,1.001025608031917,1.0012969503522668,1.0012292088928514
24,0.5416666666666666,1.001316362072009,1.001550549440845,1.0014412467627218
23,0.4782608695652174,1.0015513786249377,1.0017450809634354,1.0016558390612116
23,0.30434782608695654,1.001746231456906,1.0020939296668834,1.0018846801636363
23,0.21739130434782608,1.0021009656007782,1.0025896213019136,1.0023127895359465
24,0.20833333333333334,1.0025965388389004,1.0035276145354834,1.0029786246328323
23,0.7391304347826086,1.0035872742578766,1.0045654346063797,1.0041080915852962
23,0.9130434782608695,1.004594762137858,1.00593517865417,1.005160322101119
23,0.6086956521739131,1.0059897016575852,1.008310241905238,1.0068804878935198
24,1.0,1.0084648158518157,1.013547341750083,1.0090370828620645
